Unnamed: 0,MIA,DAL
First Downs,17,28
Rush-Yds-TDs,24-72-0,34-235-2
Cmp-Att-Yd-TD-INT,20-41-229-0-0,19-32-246-2-1
Sacked-Yards,3-18,1-5
Net Pass Yards,211,241
Total Yards,283,476
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,5-35,8-100
Third Down Conv.,3-15,5-10
Fourth Down Conv.,1-3,0-0
Time of Possession,29:04,30:56
