Quarter,Time,Tm,Detail,MIA,DAL
1.0,10:27,Cowboys,Brett Maher 28 yard field goal,0,3
,5:57,Cowboys,Amari Cooper 5 yard pass from Dak Prescott (Brett Maher kick),0,10
,0:53,Dolphins,Jason Sanders 22 yard field goal,3,10
2.0,5:48,Dolphins,Jason Sanders 33 yard field goal,6,10
3.0,12:28,Cowboys,Amari Cooper 19 yard pass from Dak Prescott (Brett Maher kick),6,17
,3:30,Cowboys,Dak Prescott 8 yard rush (Brett Maher kick),6,24
4.0,3:45,Cowboys,Tony Pollard 16 yard rush (Brett Maher kick),6,31
