Quarter,Time,Down,ToGo,Location,MIA,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIA 25,0,0,Josh Rosen pass complete short right to Allen Hurns for 6 yards (tackle by Chidobe Awuzie),0.610,0.870
1,14:39,2,4,MIA 31,0,0,Josh Rosen pass incomplete short middle intended for Jakeem Grant,0.870,0.170
1,14:36,3,4,MIA 31,0,0,Josh Rosen pass complete deep right to DeVante Parker for 40 yards (tackle by Chidobe Awuzie). Penalty on Chidobe Awuzie: Defensive Pass Interference (Declined),0.170,3.640
1,14:14,1,10,DAL 29,0,0,Josh Rosen pass incomplete short left intended for Kenyan Drake,3.640,3.100
1,14:09,2,10,DAL 29,0,0,Kenyan Drake up the middle for no gain (tackle by Leighton Vander Esch),3.100,2.410
1,13:29,3,10,DAL 29,0,0,Josh Rosen pass incomplete deep left intended for Preston Williams,2.410,1.500
1,13:25,4,10,DAL 29,0,0,Jason Sanders 47 yard field goal no good,1.500,-1.400
1,13:20,1,10,DAL 37,0,0,Dak Prescott pass complete deep middle to Amari Cooper for 37 yards (tackle by Steven Parker),1.400,3.840
1,12:49,1,10,MIA 26,0,0,Ezekiel Elliott up the middle for 3 yards (tackle by Samuel Eguavoen),3.840,3.700
1,12:19,2,7,MIA 23,0,0,Dak Prescott pass complete short right to Amari Cooper for 5 yards,3.700,3.750
1,11:50,3,2,MIA 18,0,0,Ezekiel Elliott left tackle for 7 yards (tackle by Steven Parker and Taco Charlton),3.750,4.840
1,11:14,1,10,MIA 11,0,0,Ezekiel Elliott up the middle for 1 yard (tackle by Avery Moss and Christian Wilkins),4.840,4.320
1,10:40,2,9,MIA 10,0,0,Dak Prescott pass incomplete short right intended for Devin Smith,4.320,3.300
1,10:35,3,9,MIA 10,0,0,Dak Prescott pass incomplete short middle intended for Jason Witten (defended by Steven Parker),3.300,2.760
1,10:31,4,9,MIA 10,0,3,Brett Maher 28 yard field goal good,2.760,3.000
1,10:27,,,DAL 35,0,3,"Brett Maher kicks off 70 yards, returned by Jakeem Grant for 26 yards (tackle by Jamize Olawale)",0.000,0.340
1,10:21,1,10,MIA 21,0,3,Josh Rosen pass incomplete deep right intended for Allen Hurns (defended by Jeff Heath),0.340,-0.200
1,10:16,2,10,MIA 21,0,3,Kenyan Drake left end for 2 yards (tackle by Jaylon Smith),-0.200,-0.630
1,9:36,3,8,MIA 23,0,3,Josh Rosen pass incomplete short left intended for Preston Williams,-0.630,-1.830
1,9:31,4,8,MIA 23,0,3,"Matt Haack punts 31 yards, fair catch by Cedrick Wilson at DAL-46",-1.830,-1.990
1,9:23,1,10,DAL 46,0,3,Ezekiel Elliott up the middle for 5 yards (tackle by Davon Godchaux),1.990,2.130
1,8:50,2,5,MIA 49,0,3,Dak Prescott pass incomplete deep middle intended for Amari Cooper,2.130,1.420
1,8:45,3,5,MIA 49,0,3,Dak Prescott pass complete short left to Devin Smith for 6 yards (tackle by Eric Rowe),1.420,2.720
1,8:16,1,10,MIA 43,0,3,"Ezekiel Elliott left end for 12 yards (tackle by Bobby McCain). Penalty on Tyron Smith: Offensive Holding, 10 yards (no play)",2.720,2.060
1,7:55,1,20,DAL 47,0,3,Dak Prescott pass incomplete deep right intended for Blake Jarwin,2.060,0.830
1,7:50,2,20,DAL 47,0,3,Dak Prescott pass incomplete deep left intended for Cedrick Wilson,0.830,0.170
1,7:44,3,20,DAL 47,0,3,Dak Prescott pass complete deep right to Jason Witten for 33 yards (tackle by Steven Parker),0.170,4.240
1,7:17,1,10,MIA 20,0,3,Ezekiel Elliott left tackle for 13 yards (tackle by Bobby McCain),4.240,5.600
1,6:35,1,7,MIA 7,0,3,Ezekiel Elliott left guard for 2 yards (tackle by Avery Moss),5.600,5.150
1,6:02,2,5,MIA 5,0,9,"Dak Prescott pass complete short left to Amari Cooper for 5 yards, touchdown. Penalty on Xavien Howard: Defensive Holding (Declined)",5.150,7.000
1,5:57,,,MIA 15,0,10,Brett Maher kicks extra point good,0.000,0.000
1,5:57,,,DAL 35,0,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,5:57,1,10,MIA 25,0,10,Kenyan Drake right guard for 3 yards (tackle by Leighton Vander Esch),0.610,0.470
1,5:23,2,7,MIA 28,0,10,Josh Rosen pass complete short middle to Jakeem Grant for 10 yards (tackle by Jourdan Lewis),0.470,1.470
1,4:46,1,10,MIA 38,0,10,Josh Rosen pass complete short left to Nick O'Leary for 19 yards (tackle by Anthony Brown),1.470,2.720
1,4:01,1,10,DAL 43,0,10,Josh Rosen pass complete deep right to Preston Williams for 24 yards,2.720,4.310
1,3:31,1,10,DAL 19,0,10,Josh Rosen pass incomplete short left intended for Preston Williams,4.310,3.750
1,3:28,2,10,DAL 19,0,10,Josh Rosen pass complete short middle to Preston Williams for 11 yards (tackle by Chidobe Awuzie),3.750,5.370
1,2:51,1,8,DAL 8,0,10,Kalen Ballage up the middle for 5 yards (tackle by Jaylon Smith),5.370,5.530
1,2:19,2,3,DAL 3,0,10,Kalen Ballage right guard for no gain (tackle by Leighton Vander Esch and Chidobe Awuzie),5.530,4.720
1,1:40,3,3,DAL 3,0,10,Kalen Ballage up the middle for no gain (tackle by Darian Thompson),4.720,3.040
1,0:58,4,3,DAL 3,3,10,Jason Sanders 22 yard field goal good,3.040,3.000
1,0:53,,,MIA 35,3,10,"Jason Sanders kicks onside no gain, recovered by Ken Webster. Penalty on Ken Webster: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,0:53,,,MIA 30,3,10,"Jason Sanders kicks off 70 yards, touchback.",0.000,0.610
1,0:53,1,10,DAL 25,3,10,Ezekiel Elliott left guard for 5 yards (tackle by Samuel Eguavoen),0.610,0.740
1,0:20,2,5,DAL 30,3,10,Dak Prescott pass complete short right to Tony Pollard for 8 yards (tackle by Jomal Wiltz),0.740,1.470
Quarter,Time,Down,ToGo,Location,MIA,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 38,3,10,"Dak Prescott pass deep middle intended for Randall Cobb is intercepted by Bobby McCain at MIA-28 and returned for 21 yards. Bobby McCain fumbles, ball out of bounds at MIA-49 (forced by Randall Cobb)",1.470,-2.190
