Quarter,Time,Tm,Detail,CIN,LVR
1.0,10:37,Raiders,Daniel Carlson 26 yard field goal,0,3
,7:36,Bengals,Evan McPherson 54 yard field goal,3,3
2.0,11:06,Raiders,Daniel Carlson 47 yard field goal,3,6
,4:15,Bengals,Joe Mixon 11 yard rush (Evan McPherson kick),10,6
3.0,6:04,Bengals,Evan McPherson 53 yard field goal,13,6
4.0,13:17,Bengals,Evan McPherson 51 yard field goal,16,6
,11:42,Raiders,Foster Moreau 19 yard pass from Derek Carr (Daniel Carlson kick),16,13
,5:03,Bengals,Ja'Marr Chase 6 yard pass from Joe Burrow (Evan McPherson kick failed),22,13
,3:51,Bengals,Joe Mixon 20 yard rush (Evan McPherson kick),29,13
,1:04,Bengals,Evan McPherson 47 yard field goal,32,13
