Quarter,Time,Down,ToGo,Location,CIN,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",,
1,15:00,1,10,CIN 25,0,0,Joe Burrow pass complete short right to Drew Sample for 3 yards (tackle by Denzel Perryman),,
1,14:22,2,7,CIN 28,0,0,Joe Mixon up the middle for 2 yards (tackle by Quinton Jefferson),,
1,13:38,3,5,CIN 30,0,0,Joe Burrow scrambles up the middle for 6 yards (tackle by Dallin Leavitt),,
1,12:59,1,10,CIN 36,0,0,Joe Mixon left tackle for 4 yards (tackle by Brandon Facyson and Cory Littleton),,
1,12:21,2,6,CIN 40,0,0,Joe Burrow pass incomplete short middle intended for C.J. Uzomah (defended by Denzel Perryman),,
1,12:17,3,6,CIN 40,0,0,"Joe Burrow sacked by Yannick Ngakoue for -1 yards. Joe Burrow fumbles (forced by Yannick Ngakoue), recovered by Dallin Leavitt at CIN-39 and returned for 30 yards (tackle by Tee Higgins)",,
1,12:00,1,9,CIN 9,0,0,Peyton Barber up the middle for 3 yards (tackle by Germaine Pratt),,
1,11:28,2,6,CIN 6,0,0,Derek Carr pass complete short left to Darren Waller for -2 yards (tackle by Mike Hilton),,
1,10:48,3,8,CIN 8,0,0,Derek Carr pass incomplete short left intended for Josh Jacobs,,
1,10:44,4,8,CIN 8,0,3,Daniel Carlson 26 yard field goal good,,
1,10:37,,,LVR 35,0,3,"Daniel Carlson kicks off 65 yards, touchback.",,
1,10:37,1,10,CIN 25,0,3,Tyler Boyd right end for 14 yards (tackle by Johnathan Abram),,
1,10:03,1,10,CIN 39,0,3,Joe Burrow pass incomplete deep right intended for Tyler Boyd (defended by Brandon Facyson),,
1,9:54,2,10,CIN 39,0,3,Joe Mixon left end for 4 yards (tackle by Casey Hayward),,
1,9:30,3,6,CIN 43,0,3,"Joe Burrow pass incomplete short right. Penalty on Yannick Ngakoue: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",,
1,9:07,1,10,LVR 42,0,3,Joe Mixon right tackle for 5 yards (tackle by Johnathan Abram and Cory Littleton),,
1,8:31,2,5,LVR 37,0,3,Joe Mixon right tackle for 1 yard (tackle by Damion Square),,
1,7:49,3,4,LVR 36,0,3,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Brandon Facyson),,
1,7:43,4,4,LVR 36,3,3,Evan McPherson 54 yard field goal good,,
1,7:36,,,CIN 35,3,3,"Evan McPherson kicks off 62 yards, returned by Kenyan Drake for 12 yards (tackle by Chris Evans)",,
1,7:30,1,10,LVR 15,3,3,Derek Carr pass complete short right to Darren Waller for 25 yards (tackle by Chidobe Awuzie),,
1,6:50,1,10,LVR 40,3,3,Josh Jacobs right guard for 6 yards (tackle by Logan Wilson and Larry Ogunjobi),,
1,6:11,2,4,LVR 46,3,3,Josh Jacobs left end for 4 yards (tackle by Eli Apple),,
1,5:35,1,10,LVR 50,3,3,Hunter Renfrow left end for 5 yards (tackle by Trey Hendrickson),,
1,4:58,2,5,CIN 45,3,3,Josh Jacobs left tackle for 1 yard (tackle by D.J. Reader and Larry Ogunjobi),,
1,4:06,3,4,CIN 44,3,3,Derek Carr pass incomplete short right intended for Kenyan Drake,,
1,4:05,4,4,CIN 44,3,3,"AJ Cole punts 37 yards, returned by Darius Phillips for no gain (tackle by Roderic Teamer and Zay Jones)",,
1,3:55,1,10,CIN 7,3,3,Joe Mixon up the middle for 3 yards (tackle by Johnathan Hankins and Cory Littleton),,
1,3:16,2,7,CIN 10,3,3,Joe Burrow pass complete short right to Samaje Perine for 6 yards (tackle by Denzel Perryman),,
1,2:28,3,1,CIN 16,3,3,Joe Burrow pass complete short right to Samaje Perine for 3 yards (tackle by Johnathan Abram),,
1,1:55,1,10,CIN 19,3,3,Joe Burrow pass complete short middle to C.J. Uzomah for 2 yards (tackle by Denzel Perryman),,
1,1:16,2,8,CIN 21,3,3,Joe Burrow pass complete short left to Tyler Boyd for 7 yards (tackle by Denzel Perryman and Johnathan Abram),,
1,0:32,3,1,CIN 28,3,3,Ja'Marr Chase right end for -2 yards (tackle by Casey Hayward and Cory Littleton),,
Quarter,Time,Down,ToGo,Location,CIN,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,3,CIN 26,3,3,"Kevin Huber punts 47 yards, returned by Hunter Renfrow for 12 yards (tackle by Michael Thomas and Clark Harris)",,
2,14:50,1,10,LVR 39,3,3,Derek Carr pass complete short middle to Kenyan Drake for 6 yards (tackle by Logan Wilson and Vonn Bell),,
2,14:17,2,4,LVR 45,3,3,Kenyan Drake right guard for 7 yards (tackle by Jessie Bates),,
2,13:47,1,10,CIN 48,3,3,Derek Carr pass complete short right to Darren Waller for 8 yards (tackle by Chidobe Awuzie),,
2,13:19,2,2,CIN 40,3,3,Kenyan Drake up the middle for 4 yards (tackle by B.J. Hill),,
2,12:44,1,10,CIN 36,3,3,Derek Carr pass complete short left to Josh Jacobs for 6 yards (tackle by Logan Wilson),,
2,12:04,2,4,CIN 30,3,3,Josh Jacobs up the middle for 1 yard (tackle by Vonn Bell),,
2,11:28,3,3,CIN 29,3,3,Derek Carr pass incomplete short right,,
2,11:15,4,3,CIN 29,3,6,Daniel Carlson 47 yard field goal good,,
2,11:06,,,LVR 35,3,6,"Daniel Carlson kicks off 62 yards, returned by Darius Phillips for 25 yards (tackle by Brandon Facyson)",,
2,10:57,1,10,CIN 28,3,6,Joe Mixon right tackle for -3 yards (tackle by Carl Nassib),,
2,10:15,2,13,CIN 25,3,6,Joe Burrow pass complete short middle to Tyler Boyd for 14 yards (tackle by Cory Littleton),,
2,9:33,1,10,CIN 39,3,6,Joe Burrow scrambles left end for 1 yard (tackle by Johnathan Hankins),,
2,8:52,2,9,CIN 40,3,6,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Johnathan Abram and Cory Littleton),,
2,8:09,1,10,CIN 49,3,6,Joe Mixon right tackle for -2 yards (tackle by Denzel Perryman),,
2,7:22,2,12,CIN 47,3,6,Joe Burrow pass incomplete short right,,
