Unnamed: 0,CIN,LVR
First Downs,23,13
Rush-Yds-TDs,38-159-2,18-72-0
Cmp-Att-Yd-TD-INT,20-29-148-1-0,19-27-215-1-1
Sacked-Yards,3-19,2-9
Net Pass Yards,129,206
Total Yards,288,278
Fumbles-Lost,3-1,2-1
Turnovers,1,2
Penalties-Yards,1-5,7-77
Third Down Conv.,8-16,1-7
Fourth Down Conv.,0-0,0-0
Time of Possession,37:20,22:40
