Quarter,Time,Tm,Detail,SDG,CLE
1,4:17,Browns,Trent Richardson 26 yard rush (Phil Dawson kick),0,7
2,0:00,Chargers,Nick Novak 43 yard field goal,3,7
3,2:33,Chargers,Nick Novak 31 yard field goal,6,7
