Unnamed: 0,SDG,CLE
First Downs,17,15
Rush-Yds-TDs,34-117-0,33-133-1
Cmp-Att-Yd-TD-INT,18-34-154-0-0,11-27-129-0-0
Sacked-Yards,1-6,2-12
Net Pass Yards,148,117
Total Yards,265,250
Fumbles-Lost,2-1,2-0
Turnovers,1,0
Penalties-Yards,3-15,4-35
Third Down Conv.,6-16,4-15
Fourth Down Conv.,0-2,1-1
Time of Possession,30:52,29:08
