Unnamed: 0,DEN,SDG
First Downs,12,18
Rush-Yds-TDs,19-92-0,38-147-1
Cmp-Att-Yd-TD-INT,14-32-155-0-2,18-28-190-1-0
Sacked-Yards,4-22,2-3
Net Pass Yards,133,187
Total Yards,225,334
Fumbles-Lost,2-1,2-1
Turnovers,3,1
Penalties-Yards,4-40,6-42
Third Down Conv.,4-14,7-15
Fourth Down Conv.,0-2,0-0
Time of Possession,23:17,36:43
