Unnamed: 0,JAX,NYJ
First Downs,20,18
Rush-Yds-TDs,39-175-0,32-256-2
Cmp-Att-Yd-TD-INT,15-35-140-1-1,23-32-255-0-1
Sacked-Yards,1-4,5-40
Net Pass Yards,136,215
Total Yards,311,471
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,6-47,10-70
Third Down Conv.,4-15,6-17
Fourth Down Conv.,0-0,1-1
Time of Possession,35:08,34:24
