Quarter,Time,Tm,Detail,JAX,NYJ
1,8:02,Jaguars,Leonard Fournette 10 yard pass from Blake Bortles (Jason Myers kick),7,0
,7:49,Jets,Bilal Powell 75 yard rush (Chandler Catanzaro kick),7,7
2,5:10,Jaguars,Jason Myers 30 yard field goal,10,7
,1:11,Jets,Chandler Catanzaro 45 yard field goal,10,10
3,10:02,Jets,Elijah McGuire 69 yard rush (Chandler Catanzaro kick),10,17
,0:34,Jets,Chandler Catanzaro 26 yard field goal,10,20
4,10:20,Jaguars,Myles Jack 81 yard fumble return (Jason Myers kick),17,20
,0:46,Jaguars,Jason Myers 22 yard field goal,20,20
OT,0:28,Jets,Chandler Catanzaro 41 yard field goal,20,23
