Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
2,15:00,3,2,NYG 32,7,0,Marc Bulger pass complete short right to Steven Jackson for -4 yards (tackle by Danny Clark),2.740,0.880
2,14:19,4,6,NYG 36,7,3,Josh Brown 54 yard field goal good,0.880,3.000
2,,,,STL 30,7,3,"Josh Brown kicks off 70 yards, returned by Ahmad Bradshaw for 20 yards (tackle by Ricky Manning)",0.000,0.280
2,14:09,1,10,NYG 20,7,3,Brandon Jacobs left tackle for 2 yards (tackle by Quinton Culberson),0.280,0.000
2,13:31,2,8,NYG 22,7,3,Brandon Jacobs right tackle for 9 yards (tackle by James Hall and Pisa Tinoisamoa),0.000,1.000
2,12:54,1,10,NYG 31,7,3,Eli Manning pass incomplete deep left intended for Amani Toomer,1.000,0.460
2,12:46,2,10,NYG 31,7,3,Brandon Jacobs right tackle for 2 yards (tackle by Corey Chavous),0.460,0.040
2,12:04,3,8,NYG 33,7,3,Eli Manning pass complete short right to Amani Toomer for 14 yards (tackle by Tye Hill),0.040,2.060
2,11:30,1,10,NYG 47,7,3,Eli Manning pass incomplete deep left intended for Amani Toomer (defended by Ronald Bartell),2.060,1.520
2,11:22,2,10,NYG 47,7,3,"Penalty on Eli Manning: Delay of Game, 5 yards (no play)",1.520,0.840
2,11:22,2,15,NYG 42,7,3,Eli Manning pass complete deep middle to Amani Toomer for 18 yards (tackle by Will Witherspoon),0.840,2.920
2,10:36,1,10,STL 40,7,3,Eli Manning pass incomplete deep middle intended for Steve Smith,2.920,2.370
2,10:31,2,10,STL 40,7,3,Derrick Ward up the middle for 11 yards (tackle by James Hall),2.370,3.640
2,9:54,1,10,STL 29,7,3,Derrick Ward right tackle for 1 yard (tackle by La'Roi Glover),3.640,3.240
2,9:10,2,9,STL 28,7,3,Eli Manning pass incomplete short left intended for Kevin Boss,3.240,2.540
2,9:05,3,9,STL 28,7,3,Derrick Ward up the middle for 7 yards,2.540,2.180
2,8:20,4,2,STL 21,10,3,John Carney 39 yard field goal good,2.180,3.000
2,,,,NYG 30,10,3,"John Carney kicks off 64 yards, returned by Dante Hall for 20 yards (tackle by Michael Johnson)",0.000,0.670
2,8:08,1,10,STL 26,10,3,Steven Jackson left guard for no gain (tackle by Renaldo Wynn),0.670,0.130
2,7:40,2,10,STL 26,10,3,Steven Jackson left guard for 2 yards (tackle by Danny Clark),0.130,-0.300
2,7:00,3,8,STL 28,10,3,Marc Bulger sacked by Fred Robbins for -7 yards,-0.300,-1.960
2,6:25,4,15,STL 21,10,3,"Donnie Jones punts 63 yards, returned by Domenik Hixon for 8 yards (tackle by Chris Chamberlain)",-1.960,-0.540
2,6:15,1,10,NYG 24,10,3,Brandon Jacobs right tackle for 2 yards (tackle by James Hall),0.540,0.270
2,5:31,2,8,NYG 26,10,3,Eli Manning pass incomplete deep left intended for Amani Toomer,0.270,-0.430
2,5:25,3,8,NYG 26,10,3,Eli Manning sacked for -11 yards,-0.430,-2.440
2,4:54,4,19,NYG 15,10,3,Jeff Feagles punts 38 yards,-2.440,-2.060
2,4:44,1,10,STL 47,10,3,Marc Bulger pass incomplete deep right intended for Randy McMichael,2.060,1.520
2,4:38,2,10,STL 47,10,3,Marc Bulger sacked by Fred Robbins for -7 yards,1.520,-0.100
2,4:05,3,17,STL 40,10,3,Marc Bulger pass complete short middle to Steven Jackson for 22 yards (tackle by Kenny Phillips),-0.100,3.050
2,3:18,1,10,NYG 38,10,3,Marc Bulger sacked by Antonio Pierce for -9 yards,3.050,1.290
2,2:53,2,19,NYG 47,10,3,Marc Bulger pass incomplete short left intended for Torry Holt (defended by Corey Webster),1.290,0.630
2,2:42,3,19,NYG 47,10,3,Marc Bulger pass complete short right to Steven Jackson for 11 yards (tackle by Kenny Phillips),0.630,0.880
2,2:00,4,8,NYG 36,10,6,Josh Brown 54 yard field goal good,0.880,3.000
2,,,,STL 30,10,6,"Josh Brown kicks off 71 yards, returned by Ahmad Bradshaw for 33 yards (tackle by Jonathan Wade)",0.000,1.070
2,1:49,1,10,NYG 32,10,6,Eli Manning pass incomplete deep right intended for Amani Toomer,1.070,0.530
2,1:43,2,10,NYG 32,10,6,Eli Manning pass complete short middle to Steve Smith for 11 yards (tackle by Will Witherspoon),0.530,1.800
2,1:20,1,10,NYG 43,10,6,Derrick Ward up the middle for 9 yards (tackle by Corey Chavous),1.800,2.470
2,1:14,,,,10,6,Timeout #1 by New York Giants,0.000,2.470
2,1:14,2,1,STL 48,10,6,Derrick Ward up the middle for 11 yards (tackle by Corey Chavous),2.470,3.120
2,0:53,1,10,STL 37,10,6,Eli Manning pass complete deep right to Domenik Hixon for 19 yards (tackle by Tye Hill),3.120,4.370
2,0:30,1,10,STL 18,10,6,"Derrick Ward right guard for 2 yards (tackle by O.J. Atogwe). Penalty on Chris Snee: Offensive Holding, 10 yards",4.370,3.840
2,0:30,1,18,STL 26,10,6,Eli Manning pass complete short left to Domenik Hixon for 9 yards (tackle by Fakhir Brown),3.840,3.940
2,0:16,,,,10,6,Timeout #2 by New York Giants,0.000,3.940
2,0:16,2,9,STL 17,10,6,Eli Manning pass complete short middle to Brandon Jacobs for 2 yards (tackle by Chris Draft),3.940,3.460
2,0:06,3,7,STL 15,13,6,John Carney 33 yard field goal good,3.460,3.000
2,,,,NYG 30,13,6,"John Carney kicks off 30 yards, returned by Dane Looker for 4 yards (tackle by Domenik Hixon)",0.000,0.940
Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,13,6,"John Carney kicks off 67 yards, returned by Dante Hall for 22 yards (tackle by Domenik Hixon)",0.000,0.610
3,14:56,1,10,STL 25,13,6,Marc Bulger pass complete short left to Randy McMichael for 14 yards (tackle by James Butler),0.610,1.530
3,14:14,1,10,STL 39,13,6,Marc Bulger pass incomplete short right intended for Keenan Burton,1.530,0.990
3,14:07,2,10,STL 39,13,6,Steven Jackson left end for 4 yards (tackle by James Butler),0.990,0.830
3,13:39,3,6,STL 43,13,6,Marc Bulger pass incomplete short right intended for Dante Hall,0.830,-0.520
3,13:34,4,6,STL 43,13,6,Donnie Jones punts 54 yards,-0.520,0.380
3,13:22,1,10,NYG 3,13,6,Brandon Jacobs right guard for 4 yards (tackle by Will Witherspoon and James Hall),-0.380,-0.490
3,12:40,2,6,NYG 7,13,6,Eli Manning pass incomplete deep left intended for Amani Toomer,-0.490,-0.950
3,12:35,3,6,NYG 7,13,6,Eli Manning pass complete short right to Plaxico Burress for 14 yards (tackle by Tye Hill),-0.950,0.340
3,11:59,1,10,NYG 21,13,6,"Eli Manning pass complete short right to Amani Toomer for 8 yards (tackle by Tye Hill). Amani Toomer fumbles (forced by Tye Hill), ball out of bounds at NYG-30",0.340,0.880
3,11:36,2,2,NYG 29,13,6,Brandon Jacobs left end for 30 yards (tackle by Will Witherspoon),0.880,2.850
3,10:53,1,10,STL 41,13,6,Eli Manning pass incomplete short left intended for Plaxico Burress,2.850,2.310
3,10:45,2,10,STL 41,13,6,Derrick Ward right tackle for 14 yards (tackle by Corey Chavous),2.310,3.780
3,10:17,1,10,STL 27,13,6,Brandon Jacobs left tackle for 1 yard (tackle by James Hall),3.780,3.370
3,9:29,2,9,STL 26,13,6,,3.370,4.910
,,,,,,,"NYG challenged the fumble ruling, and the original play was overturned.",,
3,8:55,1,10,STL 10,19,6,"Eli Manning pass complete short middle to Amani Toomer for 10 yards, touchdown",4.910,7.000
3,,,,STL 2,20,6,John Carney kicks extra point good,0.000,0.000
3,,,,NYG 30,20,6,"John Carney kicks off 67 yards, returned by Dante Hall for 22 yards (tackle by Zak DeOssie)",0.000,0.610
3,8:43,1,10,STL 25,20,6,Marc Bulger pass complete short right to Steven Jackson for 6 yards (tackle by Danny Clark),0.610,0.870
3,8:05,2,4,STL 31,20,6,Steven Jackson left end for 7 yards (tackle by Bryan Kehl),0.870,1.470
3,7:20,1,10,STL 38,20,6,Marc Bulger pass complete short left to Steven Jackson for -6 yards (tackle by James Butler),1.470,0.110
3,6:36,2,16,STL 32,20,6,"Marc Bulger pass complete short right to Dane Looker for 23 yards. Penalty on Adam Goldberg: Offensive Holding, 10 yards (no play)",0.110,-1.240
3,6:13,2,26,STL 22,20,6,Marc Bulger pass complete short middle to Antonio Pittman for -2 yards (tackle by Jerome McDougle),-1.240,-2.140
3,5:28,3,28,STL 20,20,6,Marc Bulger pass complete deep right to Dane Looker for 20 yards (tackle by James Butler),-2.140,-0.720
3,4:51,4,8,STL 40,20,6,"Donnie Jones punts 55 yards, returned by Domenik Hixon for 6 yards (tackle by Chris Massey)",-0.720,0.370
3,4:34,1,10,NYG 11,20,6,Brandon Jacobs left tackle for 28 yards (tackle by Ronald Bartell),-0.370,1.530
3,3:51,1,10,NYG 39,20,6,Eli Manning pass complete short left to Plaxico Burress for 10 yards (tackle by Will Witherspoon),1.530,2.190
3,3:16,1,10,NYG 49,20,6,Derrick Ward right tackle for 3 yards (tackle by Victor Adeyanju),2.190,2.050
3,2:29,,,,20,6,Timeout #1 by New York Giants,0.000,2.050
3,2:29,2,7,STL 48,20,6,"Eli Manning pass complete deep left to Kevin Boss for 28 yards. Penalty on Rich Seubert: Offensive Holding, 10 yards (no play)",2.050,0.700
3,1:55,2,17,NYG 42,20,6,Eli Manning sacked by Victor Adeyanju for -8 yards,0.700,-1.020
3,1:20,3,25,NYG 34,20,6,Eli Manning pass complete short right to Derrick Ward for 8 yards (tackle by Pisa Tinoisamoa),-1.020,-0.590
3,0:40,4,17,NYG 42,20,6,"Jeff Feagles punts 49 yards, returned by Dante Hall for 7 yards (tackle by James Butler)",-0.590,0.140
3,0:29,1,10,STL 16,20,6,Dante Hall right end for no gain (tackle by Renaldo Wynn),-0.140,-0.660
Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,STL 16,20,6,Marc Bulger pass complete short middle to Torry Holt for 5 yards (tackle by Corey Webster),-0.660,-0.700
4,14:23,3,5,STL 21,20,6,Marc Bulger pass complete short right to Dane Looker for 9 yards (tackle by Aaron Ross),-0.700,0.940
4,13:57,1,10,STL 30,20,6,"Marc Bulger pass complete short middle to Randy McMichael for 11 yards. Penalty on Randy McMichael: Illegal Shift, 5 yards (no play)",0.940,0.610
4,13:38,1,15,STL 25,20,6,Marc Bulger pass complete short left to Torry Holt for 4 yards (tackle by Aaron Ross),0.610,0.260
4,13:04,2,11,STL 29,20,6,Marc Bulger pass incomplete deep right intended for Dane Looker,0.260,-0.430
4,12:57,3,11,STL 29,20,6,"Marc Bulger pass incomplete short right intended for Dane Looker. Penalty on Kevin Dockery: Defensive Pass Interference, 9 yards (no play)",-0.430,1.470
4,12:52,1,10,STL 38,20,6,Steven Jackson left tackle for no gain (tackle by Barry Cofield),1.470,0.920
4,12:16,2,10,STL 38,20,6,Marc Bulger up the middle for 9 yards (tackle by Gerris Wilkinson),0.920,1.420
4,11:34,3,1,STL 47,20,6,Steven Jackson left guard for 8 yards (tackle by Michael Johnson),1.420,2.590
4,10:58,1,10,NYG 45,20,12,"Marc Bulger pass complete deep middle to Torry Holt for 45 yards, touchdown",2.590,7.000
4,,,,NYG 2,20,13,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 30,20,13,"Josh Brown kicks off 73 yards, returned by Ahmad Bradshaw for 21 yards (tackle by Chris Draft)",0.000,0.040
4,10:42,1,10,NYG 18,20,13,"Eli Manning pass incomplete short left intended for Amani Toomer. Penalty on Ronald Bartell: Defensive Pass Interference, 10 yards (no play)",0.040,0.810
4,10:36,1,10,NYG 28,20,13,Ahmad Bradshaw right guard for 3 yards (tackle by La'Roi Glover),0.810,0.670
4,9:58,2,7,NYG 31,20,13,Eli Manning pass complete short left to Steve Smith for 8 yards (tackle by Ricky Manning),0.670,1.530
,,,,,,,"STL challenged the runner was down by contact ruling, and the original play was overturned.",,
4,9:13,1,10,NYG 39,20,13,Ahmad Bradshaw right end for 11 yards (tackle by Corey Chavous),1.530,2.260
4,8:30,1,10,,20,13,Ahmad Bradshaw up the middle for no gain (tackle by Corey Chavous and Will Witherspoon),2.260,1.710
4,7:45,2,10,,20,13,Eli Manning pass complete deep left to Domenik Hixon for 32 yards (tackle by Fakhir Brown),1.710,4.370
4,7:25,1,10,STL 18,26,13,"Eli Manning pass complete short right to Ahmad Bradshaw for 18 yards, touchdown. Penalty on Plaxico Burress: Taunting, 15 yards",4.370,7.000
4,,,,STL 2,27,13,John Carney kicks extra point good,0.000,0.000
4,,,,NYG 15,27,13,"John Carney kicks off 74 yards, returned by Dante Hall for 18 yards (tackle by Michael Johnson)",0.000,0.870
4,7:14,1,10,STL 29,27,13,Marc Bulger sacked by Justin Tuck for -6 yards,0.870,-0.480
4,6:52,2,16,STL 23,27,13,Marc Bulger pass incomplete short right intended for Dante Hall,-0.480,-1.150
4,6:47,3,16,STL 23,27,13,Marc Bulger pass complete short left to Randy McMichael for 10 yards (tackle by Michael Johnson),-1.150,-1.180
4,6:31,,,,27,13,Timeout #1 by St. Louis Rams,0.000,-1.180
4,6:31,4,6,STL 33,27,13,Marc Bulger pass complete short right to Dante Hall for 8 yards (tackle by Michael Johnson),-1.180,1.660
4,6:09,1,10,STL 41,27,13,Marc Bulger pass complete short right to Dante Hall for 5 yards (tackle by Kevin Dockery),1.660,1.800
4,5:42,2,5,STL 46,33,13,"Marc Bulger pass incomplete short left intended for Dante Hall is intercepted by Justin Tuck at STL-41 and returned for 41 yards, touchdown",1.800,-7.000
4,,,,STL 2,34,13,John Carney kicks extra point good,0.000,0.000
4,,,,NYG 30,34,13,"John Carney kicks off 71 yards, returned by Donnie Avery for 21 yards (tackle by Bryan Kehl)",0.000,0.280
4,5:23,1,10,STL 20,34,13,"Penalty on Jerome McDougle: Neutral Zone Infraction, 5 yards (no play)",0.280,1.010
4,5:23,1,5,STL 25,34,13,Antonio Pittman up the middle for 6 yards (tackle by Antonio Pierce),1.010,1.000
4,4:55,1,10,STL 31,34,13,Marc Bulger pass incomplete short left intended for Randy McMichael,1.000,0.460
4,4:50,2,10,STL 31,34,13,Marc Bulger pass incomplete short right intended for Antonio Pittman (defended by Jerome McDougle),0.460,-0.230
4,4:47,3,10,STL 31,34,13,Marc Bulger pass incomplete short middle intended for Randy McMichael,-0.230,-1.310
4,4:41,4,10,STL 31,34,13,"Donnie Jones punts 58 yards, returned by Domenik Hixon for 50 yards (tackle by Donnie Jones)",-1.310,-2.980
4,4:21,1,10,STL 39,34,13,Brandon Jacobs right end for 1 yard (tackle by Clifton Ryan),2.980,2.580
4,3:39,2,9,STL 38,34,13,Ahmad Bradshaw right guard for 7 yards,2.580,2.810
4,3:30,,,,34,13,Timeout #2 by St. Louis Rams,0.000,2.810
4,3:30,3,2,STL 31,40,13,"Ahmad Bradshaw left end for 31 yards, touchdown",2.810,7.000
4,,,,STL 2,41,13,John Carney kicks extra point good,0.000,0.000
4,,,,NYG 30,41,13,"John Carney kicks off 61 yards, returned by Dante Hall for 4 yards (tackle by Kevin Dockery)",0.000,-0.320
4,3:15,1,10,STL 13,41,13,Marc Bulger pass incomplete,-0.320,-0.770
4,3:09,2,10,STL 13,41,13,Marc Bulger sacked by Jay Alford for -7 yards,-0.770,-2.240
4,2:45,3,17,STL 6,41,13,Steven Jackson up the middle for 4 yards (tackle by Renaldo Wynn),-2.240,-2.490
4,2:08,4,13,STL 10,41,13,"Donnie Jones punts 46 yards, fair catch by Domenik Hixon",-2.490,-1.860
4,1:59,1,10,NYG 44,41,13,David Carr kneels for -1 yards,1.860,1.180
4,1:20,2,11,NYG 43,41,13,David Carr kneels for -1 yards,1.180,0.370
4,0:40,3,12,NYG 42,41,13,David Carr kneels for -1 yards,0.370,-0.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
