Quarter,Time,Tm,Detail,PIT,SDG
1.0,9:50,Chargers,Antonio Gates 12 yard pass from Philip Rivers (Josh Lambo kick),0,7
2.0,4:24,Steelers,Chris Boswell 47 yard field goal,3,7
3.0,3:21,Steelers,Antwon Blake 70 yard interception return (Chris Boswell kick),10,7
4.0,14:49,Chargers,Josh Lambo 40 yard field goal,10,10
,8:02,Chargers,Antonio Gates 11 yard pass from Philip Rivers (Josh Lambo kick),10,17
,7:42,Steelers,Markus Wheaton 72 yard pass from Michael Vick (Chris Boswell kick),17,17
,2:56,Chargers,Josh Lambo 54 yard field goal,17,20
,0:00,Steelers,Le'Veon Bell 1 yard rush (Chris Boswell kick),24,20
