Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ty Montgomery,NOR,18,105,0,4,72,4.0,33,1.8,0,
Taysom Hill,NOR,7,41,1,4,32,4.6,9,1.3,1,7.0
Tony Jones,NOR,3,13,0,1,6,2.0,7,2.3,0,
Tommylee Lewis,NOR,1,-2,0,,-2,-2.0,0,0.0,0,
Jameis Winston,NOR,1,-1,0,,-1,-1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Rodney Smith,CAR,10,40,1,5,24,2.4,16,1.6,1,10.0
Tommy Stevens,CAR,4,24,0,2,20,5.0,4,1.0,0,
Teddy Bridgewater,CAR,3,7,0,0,7,2.3,0,0.0,0,
Curtis Samuel,CAR,3,3,0,0,1,0.3,2,0.7,0,
