Unnamed: 0,NOR,CAR
First Downs,20,17
Rush-Yds-TDs,30-156-1,20-74-1
Cmp-Att-Yd-TD-INT,22-32-201-3-0,18-37-271-0-5
Sacked-Yards,2-10,3-25
Net Pass Yards,191,246
Total Yards,347,320
Fumbles-Lost,2-0,2-0
Turnovers,0,5
Penalties-Yards,4-31,1-5
Third Down Conv.,6-14,1-9
Fourth Down Conv.,1-1,2-4
Time of Possession,30:54,29:06
