Quarter,Time,Tm,Detail,NOR,CAR
1.0,9:04,Saints,Jared Cook 18 yard pass from Drew Brees (Wil Lutz kick),7,0
,1:40,Panthers,Rodney Smith 1 yard rush (Joey Slye kick),7,7
2.0,8:12,Saints,Emmanuel Sanders 8 yard pass from Drew Brees (Wil Lutz kick failed),13,7
,0:00,Saints,Wil Lutz 33 yard field goal,16,7
3.0,11:49,Saints,Wil Lutz 48 yard field goal,19,7
,4:56,Saints,Taysom Hill 3 yard rush (Wil Lutz kick),26,7
4.0,14:55,Saints,Austin Carr 11 yard pass from Drew Brees (Wil Lutz kick),33,7
