Quarter,Time,Tm,Detail,SDG,SEA
2.0,11:28,Seahawks,Olindo Mare 23 yard field goal,0,3
,0:53,Seahawks,John Carlson 9 yard pass from Matt Hasselbeck (Olindo Mare kick),0,10
3.0,14:47,Seahawks,Leon Washington 101 yard kickoff return (Olindo Mare kick),0,17
,12:33,Chargers,Malcom Floyd 3 yard pass from Philip Rivers (Nate Kaeding kick),7,17
,4:31,Chargers,"Safety, Matt Hasselbeck sacked by Brandon Siler in end zone.",9,17
,0:37,Chargers,Nate Kaeding 29 yard field goal,12,17
4.0,11:27,Seahawks,Olindo Mare 23 yard field goal,12,20
,6:39,Chargers,Antonio Gates 12 yard pass from Philip Rivers (Legedu Naanee pass from Philip Rivers),20,20
,6:24,Seahawks,Leon Washington 99 yard kickoff return (Olindo Mare kick),20,27
