Quarter,Time,Tm,Detail,TAM,NYJ
1.0,8:09,Buccaneers,Matt Bryant 35 yard field goal,3,0
2.0,11:21,Buccaneers,Matt Bryant 36 yard field goal,6,0
,7:32,Jets,Curtis Martin 2 yard rush (Mike Nugent kick),6,7
,0:05,Buccaneers,Matt Bryant 43 yard field goal,9,7
3.0,9:05,Jets,Curtis Martin 1 yard rush (Mike Nugent kick),9,14
4.0,4:00,Buccaneers,Matt Bryant 30 yard field goal,12,14
