Quarter,Time,Tm,Detail,HOU,BUF
1.0,4:48,Bills,"Safety,",0,2
2.0,2:07,Bills,Rian Lindell 23 yard field goal,0,5
,1:12,Texans,Andre Johnson 46 yard pass from Tony Banks (run failed),6,5
3.0,10:42,Texans,Kris Brown 41 yard field goal,9,5
,4:38,Bills,Rian Lindell 20 yard field goal,9,8
4.0,3:23,Texans,Kris Brown 34 yard field goal,12,8
,0:00,Bills,"Safety,",12,10
