Unnamed: 0,HOU,BUF
First Downs,12,17
Rush-Yds-TDs,28-34-0,28-182-0
Cmp-Att-Yd-TD-INT,13-20-219-1-1,15-26-184-0-0
Sacked-Yards,4-8,4-31
Net Pass Yards,211,153
Total Yards,245,335
Fumbles-Lost,2-0,2-1
Turnovers,1,1
Penalties-Yards,11-65,6-44
Third Down Conv.,2-10,3-13
Fourth Down Conv.,0-1,0-0
Time of Possession,28:04,31:56
