Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 59 yards, returned by J.J. Moses for 22 yards (tackle by Benny Sapp)",0.000,1.140
1,14:55,1,10,HOU 33,0,0,David Carr right end for 6 yards (tackle by Monty Beisel),1.140,1.400
1,14:16,2,4,HOU 39,0,0,Domanick Williams right tackle for 6 yards (tackle by Monty Beisel),1.400,1.930
1,13:36,1,10,HOU 45,0,0,David Carr pass incomplete intended for Jabar Gaffney,1.930,1.380
1,13:31,2,10,HOU 45,0,0,Jonathan Wells left end for 7 yards (tackle by Jerome Woods),1.380,1.620
1,12:45,3,3,KAN 48,0,0,"David Carr pass incomplete intended for Corey Bradford. Penalty on Dexter McCleon: Illegal Use of Hands, 5 yards (no play)",1.620,2.720
1,12:42,1,10,KAN 43,0,0,"David Carr pass incomplete intended for Mark Bruener. Penalty on Jerome Woods: Unnecessary Roughness, 15 yards (no play)",2.720,3.710
1,12:36,1,10,KAN 28,0,0,Domanick Williams left end for 2 yards (tackle by Ryan Sims and Jimmy Wilkerson),3.710,3.440
1,11:50,2,8,KAN 26,0,0,David Carr middle for 12 yards (tackle by Julian Battle),3.440,4.650
1,11:12,1,10,KAN 14,0,0,Domanick Williams left tackle for -1 yards (tackle by Shawn Barber),4.650,3.850
1,10:32,2,11,KAN 15,0,0,"David Carr pass incomplete. Penalty on Jerome Woods: Defensive Offside, 5 yards (no play)",3.850,4.710
1,10:27,2,6,KAN 10,0,0,David Carr pass incomplete intended for Jabar Gaffney (defended by Greg Wesley),4.710,3.820
1,10:20,3,6,KAN 10,0,0,David Carr pass incomplete intended for Jabar Gaffney is intercepted by Eric Warfield at KAN-0,3.820,-0.280
1,10:14,1,10,KAN 20,0,0,Dante Hall left end for 17 yards (tackle by Robaire Smith),0.280,1.400
1,9:35,1,10,KAN 37,0,0,Priest Holmes middle for 8 yards (tackle by Aaron Glenn),1.400,1.940
1,9:00,2,2,KAN 45,0,0,Priest Holmes right end for 11 yards (tackle by Aaron Glenn and Jay Foreman),1.940,2.650
1,8:19,1,10,HOU 44,0,0,Priest Holmes left tackle for 9 yards (tackle by Aaron Glenn),2.650,3.330
1,7:37,2,1,HOU 35,0,0,Priest Holmes right end for 9 yards (tackle by Gary Walker),3.330,3.840
1,6:54,1,10,HOU 26,0,0,Johnnie Morton right end for 12 yards (tackle by Dunta Robinson),3.840,4.650
1,6:09,1,10,HOU 14,0,0,Priest Holmes right end for no gain (tackle by Jay Foreman). Penalty on Tony Gonzalez: Illegal Motion (Declined),4.650,4.000
1,5:47,2,10,HOU 14,0,0,Trent Green pass incomplete intended for Tony Gonzalez,4.000,3.110
1,5:41,3,10,HOU 14,0,6,"Trent Green pass complete to Tony Gonzalez for 14 yards, touchdown",3.110,7.000
1,5:41,,,HOU 2,0,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,5:41,,,KAN 30,0,7,"Lawrence Tynes kicks off 67 yards, returned by J.J. Moses for 28 yards (tackle by Gary Stills)",0.000,1.000
1,5:29,1,10,HOU 31,0,7,David Carr pass incomplete intended for Jabar Gaffney,1.000,0.460
1,5:24,2,10,HOU 31,0,7,Domanick Williams middle for 1 yard (tackle by Monty Beisel),0.460,-0.100
1,4:58,3,9,HOU 32,0,7,David Carr pass incomplete intended for Derick Armstrong,-0.100,-1.240
1,4:42,4,9,HOU 32,0,7,"Chad Stanley punts 38 yards, returned by Dante Hall for 34 yards. Penalty on Shaunard Harts: Offensive Holding, 10 yards",-1.240,-1.000
1,4:23,1,10,KAN 31,0,7,Priest Holmes middle for 3 yards (tackle by Glenn Earl and Marcus Coleman),1.000,0.870
1,3:50,2,7,KAN 34,0,7,Trent Green pass incomplete intended for Dante Hall,0.870,0.170
1,3:44,3,7,KAN 34,0,7,Trent Green pass incomplete intended for Derrick Blaylock,0.170,-1.110
1,3:38,4,7,KAN 34,0,7,"Jason Baker punts 38 yards, returned by J.J. Moses for 14 yards (tackle by Shaunard Harts). Penalty on Troy Evans: Illegal Block Above the Waist, 10 yards",-1.110,-1.070
1,3:26,1,10,HOU 32,0,7,Domanick Williams right end for -2 yards (tackle by John Browning),1.070,0.260
1,2:44,2,12,HOU 30,0,7,Domanick Williams right end for 3 yards (tackle by Ryan Sims),0.260,-0.030
1,2:03,3,9,HOU 33,0,7,"David Carr pass complete to Jabar Gaffney for 17 yards (tackle by Julian Battle). Penalty on Seth Wand: Offensive Holding, 10 yards (no play)",-0.030,-1.350
1,1:41,3,19,HOU 23,0,7,"David Carr pass incomplete. Penalty on David Carr: Intentional Grounding, 10 yards",-1.350,-2.490
1,1:28,4,29,HOU 13,0,7,"Chad Stanley punts 40 yards, fair catch by Dante Hall. Penalty on Omar Easy: Offensive Holding, 10 yards",-2.490,-1.400
1,1:28,1,10,KAN 37,0,7,Priest Holmes right end for 7 yards (tackle by Robaire Smith),1.400,1.800
1,0:59,2,3,KAN 44,0,7,Trent Green pass complete to Tony Gonzalez for 11 yards (tackle by Glenn Earl),1.800,2.590
1,0:20,1,10,HOU 45,0,7,Priest Holmes middle for 4 yards (tackle by Seth Payne and Jamie Sharper),2.590,2.580
Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,HOU 41,0,7,Priest Holmes middle for 3 yards (tackle by Jay Foreman),2.580,2.280
2,14:24,3,3,HOU 38,0,7,Trent Green pass complete to Dante Hall for 4 yards (tackle by Dunta Robinson),2.280,3.310
2,13:46,1,10,HOU 34,0,7,Trent Green pass incomplete intended for Tony Gonzalez,3.310,2.770
2,13:41,2,10,HOU 34,0,7,"Priest Holmes right end for 11 yards (tackle by Marcus Coleman). Penalty on Brian Waters: Offensive Holding, 12 yards (no play)",2.770,1.150
2,13:08,2,22,HOU 46,0,7,Trent Green pass incomplete intended for Priest Holmes,1.150,0.500
2,13:02,2,22,HOU 46,0,7,Timeout #1 by Kansas City Chiefs,1.150,0.500
2,13:02,3,22,HOU 46,0,7,Trent Green pass complete to Derrick Blaylock for 12 yards (tackle by Dunta Robinson and Demarcus Faggins),0.500,1.060
