Quarter,Time,Tm,Detail,HOU,KAN
1.0,5:35,Chiefs,Tony Gonzalez 14 yard pass from Trent Green (Lawrence Tynes kick),0,7
2.0,6:15,Texans,Kris Brown 28 yard field goal,3,7
,0:10,Texans,Kris Brown 49 yard field goal,6,7
3.0,11:10,Chiefs,Chris Horn 6 yard pass from Trent Green (Lawrence Tynes kick),6,14
,3:51,Texans,Marcus Coleman 102 yard interception return (Jonathan Wells run),14,14
4.0,10:55,Chiefs,Jason Dunn 5 yard pass from Trent Green (Lawrence Tynes kick),14,21
,5:20,Texans,Jabar Gaffney 9 yard pass from David Carr (Kris Brown kick),21,21
,0:02,Texans,Kris Brown 49 yard field goal,24,21
