Unnamed: 0,HOU,KAN
First Downs,18,25
Rush-Yds-TDs,26-76-0,36-168-0
Cmp-Att-Yd-TD-INT,13-25-233-1-1,21-30-226-3-1
Sacked-Yards,3-13,3-28
Net Pass Yards,220,198
Total Yards,296,366
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,7-60,9-87
Third Down Conv.,3-10,8-13
Fourth Down Conv.,1-1,0-1
Time of Possession,24:53,35:07
