Quarter,Time,Tm,Detail,STL,GNB
1.0,12:23,Packers,Ahmad Carroll 40 yard defensive fumble return (Ryan Longwell kick),0,7
2.0,12:47,Rams,Jeff Wilkins 34 yard field goal,3,7
,7:25,Packers,Bubba Franks 7 yard pass from Brett Favre (Ryan Longwell kick),3,14
,2:50,Packers,Javon Walker 10 yard pass from Brett Favre (Ryan Longwell kick),3,21
,0:30,Rams,Isaac Bruce 4 yard pass from Marc Bulger (Jeff Wilkins kick),10,21
3.0,1:44,Packers,Donald Driver 16 yard pass from Brett Favre (Ryan Longwell kick),10,28
4.0,14:19,Rams,Marshall Faulk 8 yard pass from Marc Bulger (Jeff Wilkins kick),17,28
,8:29,Packers,Ryan Longwell 27 yard field goal,17,31
,1:52,Packers,Najeh Davenport 40 yard rush (Ryan Longwell kick),17,38
,0:46,Packers,Michael Hawthorne 34 yard defensive fumble return (Ryan Longwell kick),17,45
