Unnamed: 0,STL,GNB
First Downs,25,22
Rush-Yds-TDs,17-47-0,28-231-1
Cmp-Att-Yd-TD-INT,35-53-448-2-1,18-27-215-3-0
Sacked-Yards,4-43,0-0
Net Pass Yards,405,215
Total Yards,452,446
Fumbles-Lost,3-2,1-0
Turnovers,3,0
Penalties-Yards,7-50,7-55
Third Down Conv.,9-16,3-8
Fourth Down Conv.,0-1,1-1
Time of Possession,33:20,26:40
