Unnamed: 0,CAR,NOR
First Downs,10,27
Rush-Yds-TDs,23-118-1,29-121-0
Cmp-Att-Yd-TD-INT,11-21-146-1-0,33-48-275-1-0
Sacked-Yards,3-13,2-13
Net Pass Yards,133,262
Total Yards,251,383
Fumbles-Lost,1-1,3-2
Turnovers,1,2
Penalties-Yards,4-66,4-36
Third Down Conv.,4-12,8-14
Fourth Down Conv.,1-2,0-0
Time of Possession,21:38,38:22
