Unnamed: 0,TAM,DEN
First Downs,18,25
Rush-Yds-TDs,21-71-0,29-91-0
Cmp-Att-Yd-TD-INT,18-39-242-2-1,27-38-242-3-1
Sacked-Yards,1-7,0-0
Net Pass Yards,235,242
Total Yards,306,333
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,11-80,8-75
Third Down Conv.,3-12,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,26:33,33:27
