Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,Phillip Lindsay right tackle for 2 yards (tackle by Tremaine Edmunds),0.610,0.330
1,14:20,2,8,DEN 27,0,0,Drew Lock pass complete short left to Noah Fant for 10 yards (tackle by Tremaine Edmunds),0.330,1.400
1,13:51,1,10,DEN 37,0,0,Phillip Lindsay up the middle for 10 yards (tackle by Tremaine Edmunds),1.400,2.060
1,13:11,1,10,DEN 47,0,0,Phillip Lindsay right guard for 4 yards (tackle by Ed Oliver),2.060,2.060
1,12:29,2,6,BUF 49,0,0,Drew Lock pass incomplete short right intended for Nick Vannett (defended by Ed Oliver),2.060,1.360
1,12:24,3,6,BUF 49,0,0,Drew Lock up the middle for 13 yards (tackle by Taron Johnson),1.360,3.180
1,11:42,1,10,BUF 36,0,0,Melvin Gordon right tackle for 1 yard (tackle by Tremaine Edmunds),3.180,2.770
1,11:00,2,9,BUF 35,0,0,Drew Lock left end for 2 yards (tackle by Taron Johnson),2.770,2.350
1,10:20,3,7,BUF 33,0,0,Drew Lock pass incomplete short right intended for Jerry Jeudy (defended by Levi Wallace),2.350,1.150
1,10:15,4,7,BUF 33,0,0,Taylor Russolino 51 yard field goal no good,1.150,-1.660
1,10:10,1,10,BUF 41,0,0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by De'Vante Bausby),1.660,2.070
1,9:34,2,3,BUF 48,0,0,Devin Singletary up the middle for 4 yards (tackle by Joseph Jones and Josey Jewell),2.070,2.390
1,8:56,1,10,DEN 48,0,0,Josh Allen pass complete short left to Devin Singletary for 2 yards (tackle by Kareem Jackson),2.390,2.120
1,8:17,2,8,DEN 46,0,0,Josh Allen pass incomplete short right intended for Dawson Knox,2.120,1.420
1,8:12,3,8,DEN 46,0,0,Josh Allen pass complete short right to Stefon Diggs for 15 yards. Penalty on De'Vante Bausby: Illegal Contact (Declined),1.420,3.510
1,7:44,1,10,DEN 31,0,0,Josh Allen pass complete short left to Devin Singletary for 8 yards (tackle by Will Parks),3.510,4.050
1,7:05,2,2,DEN 23,0,0,"Josh Allen sacked by Jeremiah Attaochu for -7 yards. Josh Allen fumbles (forced by Jeremiah Attaochu), recovered by Josh Allen at DEN-30",4.050,2.410
1,6:22,3,9,DEN 30,0,0,"Josh Allen pass deep right is intercepted by De'Vante Bausby at DEN-8 and returned for 23 yards. Penalty on Jeremiah Attaochu: Defensive Offside, 5 yards (no play)",2.410,3.070
1,6:13,3,4,DEN 25,0,0,Josh Allen pass complete short right to Cole Beasley for 5 yards (tackle by Josey Jewell),3.070,4.240
1,5:34,1,10,DEN 20,0,0,Josh Allen pass incomplete short left intended for Cole Beasley,4.240,3.690
1,5:30,,,,,,Timeout #1 by Buffalo Bills,,
1,5:30,2,10,DEN 20,0,0,Josh Allen up the middle for 8 yards (tackle by Kareem Jackson),3.690,4.340
1,4:55,3,2,DEN 12,0,0,Josh Allen pass complete short right to Stefon Diggs for 3 yards (tackle by De'Vante Bausby),4.340,5.140
1,4:18,1,9,DEN 9,0,0,Josh Allen pass incomplete short right,5.140,4.380
1,4:12,2,9,DEN 9,6,0,"Josh Allen pass complete short right to Dawson Knox for 9 yards, touchdown",4.380,7.000
1,4:05,,,DEN 15,7,0,Tyler Bass kicks extra point good,0.000,0.000
1,4:05,,,BUF 35,7,0,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
