Unnamed: 0,BUF,DEN
First Downs,29,19
Rush-Yds-TDs,24-182-3,28-140-2
Cmp-Att-Yd-TD-INT,28-40-359-2-0,20-32-132-1-0
Sacked-Yards,1-7,3-17
Net Pass Yards,352,115
Total Yards,534,255
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,8-75,7-33
Third Down Conv.,9-13,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,33:50,26:10
