#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:47,MIA 40,5,2:07,29,Field Goal
2,1,10:16,MIA 35,8,4:40,65,Touchdown
3,1,3:15,MIA 13,13,6:37,76,Interception
4,2,9:40,MIA 46,3,0:44,-9,Punt
5,2,8:05,OAK 26,4,1:16,-7,Missed FG
6,2,5:32,MIA 20,15,5:28,75,Field Goal
7,3,15:00,MIA 28,5,2:08,72,Touchdown
8,3,11:34,OAK 44,5,2:48,18,Field Goal
9,3,7:08,OAK 30,6,3:12,-1,Missed FG
10,3,1:48,MIA 20,6,3:40,23,Punt
11,4,10:57,MIA 20,13,6:54,73,Field Goal
12,4,3:28,OAK 46,2,0:16,46,Touchdown
13,4,1:48,MIA 39,3,1:48,-4,End of Game
