Quarter,Time,Tm,Detail,MIA,OAK
1.0,14:47,Raiders,Jacoby Ford 101 yard kickoff return (Sebastian Janikowski kick),0,7
,12:40,Dolphins,Dan Carpenter 49 yard field goal,3,7
,5:36,Dolphins,Patrick Cobbs 29 yard pass from Chad Henne (Dan Carpenter kick),10,7
2.0,5:32,Raiders,Jacoby Ford 44 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),10,14
,0:04,Dolphins,Dan Carpenter 23 yard field goal,13,14
3.0,12:52,Dolphins,Marlon Moore 57 yard pass from Chad Henne (Dan Carpenter kick),20,14
,8:46,Dolphins,Dan Carpenter 44 yard field goal,23,14
4.0,10:57,Raiders,Sebastian Janikowski 30 yard field goal,23,17
,4:03,Dolphins,Dan Carpenter 25 yard field goal,26,17
,3:12,Dolphins,Ricky Williams 45 yard rush (Dan Carpenter kick),33,17
