Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 48,10,7,Ronnie Brown left guard for 6 yards (tackle by Richard Seymour),2.390,2.660
2,14:26,2,4,OAK 42,10,7,Ronnie Brown left tackle for 7 yards (tackle by Lamarr Houston and Michael Huff),2.660,3.250
2,13:48,1,10,OAK 35,10,7,Ricky Williams left tackle for 4 yards (tackle by Richard Seymour),3.250,3.240
2,13:14,2,6,OAK 31,10,7,Chad Henne pass incomplete short right intended for Jeron Mastrud,3.240,2.540
2,13:08,3,6,OAK 31,10,7,Chad Henne pass complete short middle to Brian Hartline for 19 yards (tackle by Stanford Routt),2.540,4.780
2,13:01,1,10,OAK 12,10,7,Ronnie Brown left tackle for 1 yard (tackle by Rolando McClain),4.780,4.270
2,11:49,2,9,OAK 11,10,7,Chad Henne pass incomplete short middle intended for Davone Bess is intercepted by Rolando McClain at OAK-1 and returned for 10 yards,4.270,0.370
2,11:38,1,10,OAK 11,10,7,Bruce Gradkowski pass complete short right to Zach Miller for 6 yards (tackle by Quentin Moses),-0.370,-0.160
2,11:12,2,4,OAK 17,10,7,Darren McFadden middle for 2 yards (tackle by Tim Dobbins),-0.160,-0.480
2,10:35,3,2,OAK 19,10,7,Bruce Gradkowski pass complete short right to Darren McFadden for 20 yards (tackle by Yeremiah Bell),-0.480,1.530
2,9:53,,,,10,7,Timeout #1 by Miami Dolphins,0.000,1.530
2,9:53,1,10,OAK 39,10,7,Bruce Gradkowski pass incomplete deep right intended for Marcel Reece is intercepted by Yeremiah Bell at MIA-25 and returned for 21 yards,1.530,-1.990
,,,,,,,"OAK challenged the runner was down by contact ruling, and the play was upheld.",,
2,9:40,1,10,MIA 46,10,7,Chad Henne pass incomplete short right intended for Ricky Williams,1.990,1.450
2,9:34,2,10,MIA 46,10,7,Chad Henne pass incomplete deep right intended for Marlon Moore,1.450,0.760
2,9:30,3,10,MIA 46,10,7,Chad Henne sacked by Michael Huff for -9 yards,0.760,-0.910
2,9:07,4,19,MIA 37,10,7,Brandon Fields punts 52 yards (tackle by Tyrone Culver),-0.910,-0.670
2,8:56,1,10,OAK 26,10,7,Bruce Gradkowski pass complete short right to Jacoby Ford for 6 yards (tackle by Chris Clemons),0.670,0.940
2,8:18,2,4,OAK 32,10,7,"Marcel Reece middle for -2 yards. Marcel Reece fumbles, recovered by Yeremiah Bell at OAK-30 and returned for 4 yards (tackle by Jacoby Ford)",0.940,-3.840
2,8:05,1,10,OAK 26,10,7,Ronnie Brown left tackle for 2 yards (tackle by Matt Shaughnessy and Quentin Groves),3.840,3.570
2,7:31,2,8,OAK 24,10,7,Chad Henne pass incomplete short right intended for Patrick Cobbs,3.570,2.870
2,7:25,3,8,OAK 24,10,7,Chad Henne sacked by Tyvon Branch for -9 yards,2.870,1.150
2,6:54,4,17,OAK 33,10,7,Dan Carpenter 51 yard field goal no good,1.150,-1.730
2,6:49,1,10,OAK 42,10,7,Jacoby Ford left end for 13 yards (tackle by Sean Smith),1.730,2.590
2,6:14,1,10,MIA 45,10,7,Michael Bush middle for 1 yard (tackle by Tim Dobbins),2.590,2.180
2,5:45,2,9,MIA 44,10,7,Bruce Gradkowski pass incomplete short middle intended for Michael Bush,2.180,1.490
2,5:41,3,9,MIA 44,10,13,"Bruce Gradkowski pass complete deep right to Jacoby Ford for 44 yards, touchdown",1.490,7.000
2,,,,MIA 2,10,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,10,14,Sebastian Janikowski kicks off 50 yards,0.000,0.280
2,5:29,1,10,MIA 20,10,14,"Penalty on Vernon Carey: False Start, 5 yards (no play)",0.280,-0.310
2,5:29,1,15,MIA 15,10,14,Ricky Williams right guard for no gain (tackle by Tommy Kelly),-0.310,-1.070
2,4:45,2,15,MIA 15,10,14,"Chad Henne pass incomplete short left intended for Brian Hartline. Penalty on Nnamdi Asomugha: Defensive Holding, 5 yards (no play)",-1.070,0.280
2,4:40,1,10,MIA 20,10,14,"Penalty on Lousaka Polite: False Start, 5 yards (no play)",0.280,-0.310
2,4:40,1,15,MIA 15,10,14,Ricky Williams left guard for 1 yard (tackle by Rolando McClain),-0.310,-0.940
2,4:03,2,14,MIA 16,10,14,Ricky Williams left end for 7 yards (tackle by Tyvon Branch),-0.940,-0.560
2,3:17,,,,10,14,Timeout #2 by Miami Dolphins,0.000,-0.560
2,3:16,3,7,MIA 23,10,14,Chad Henne pass complete short middle to Davone Bess for 17 yards (tackle by Michael Mitchell),-0.560,1.600
2,2:39,1,10,MIA 40,10,14,Chad Henne pass complete short middle to Brian Hartline for 23 yards (tackle by Stanford Routt),1.600,3.120
2,2:00,1,10,OAK 37,10,14,Chad Henne pass incomplete deep right intended for Brian Hartline,3.120,2.570
2,1:53,2,10,OAK 37,10,14,Chad Henne pass incomplete deep left intended for Marlon Moore (defended by Stevie Brown),2.570,1.880
2,1:48,3,10,OAK 37,10,14,Chad Henne pass complete deep left to Davone Bess for 18 yards (tackle by Walter McFadden),1.880,4.310
2,1:42,1,10,OAK 19,10,14,Chad Henne pass incomplete,4.310,3.750
2,1:34,2,10,OAK 19,10,14,Chad Henne pass incomplete short right intended for Davone Bess,3.750,3.030
2,1:29,3,10,OAK 19,10,14,Chad Henne pass complete short left to Davone Bess for 11 yards,3.030,5.370
2,1:24,1,8,OAK 8,10,14,Ricky Williams left end for -1 yards (tackle by Michael Mitchell),5.370,4.380
2,0:55,2,9,OAK 9,10,14,Chad Henne pass complete short middle to Anthony Fasano for 4 yards (tackle by Stanford Routt and Walter McFadden),4.380,4.260
2,0:13,3,5,OAK 5,10,14,Chad Henne pass incomplete short middle intended for Brian Hartline (defended by Tyvon Branch),4.260,3.010
2,0:08,4,5,OAK 5,13,14,Dan Carpenter 23 yard field goal good,3.010,3.000
2,,,,MIA 30,13,14,"Dan Carpenter kicks off 35 yards, returned by Marcel Reece for 7 yards (tackle by Jonathon Amaya)",0.000,0.940
Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,13,14,"Sebastian Janikowski kicks off 57 yards, returned by Patrick Cobbs for 15 yards (tackle by Hiram Eugene)",0.000,0.810
3,14:56,1,10,MIA 28,13,14,Ronnie Brown middle for 5 yards (tackle by Matt Shaughnessy),0.810,0.940
3,14:23,2,5,MIA 33,13,14,Ronnie Brown middle for 7 yards (tackle by Tyvon Branch and Tommy Kelly),0.940,1.600
3,13:44,1,10,MIA 40,13,14,Chad Henne pass incomplete short right intended for Davone Bess,1.600,1.050
3,13:40,2,10,MIA 40,13,14,Chad Henne pass complete short left to Patrick Cobbs for 3 yards (tackle by Michael Huff),1.050,0.760
3,13:02,,,,13,14,Timeout #1 by Miami Dolphins,0.000,0.760
3,13:01,3,7,MIA 43,19,14,"Chad Henne pass complete short right to Marlon Moore for 57 yards, touchdown",0.760,7.000
3,,,,OAK 2,20,14,Dan Carpenter kicks extra point good,0.000,0.000
3,,,,MIA 30,20,14,"Dan Carpenter kicks off 72 yards, returned by Jacoby Ford for 15 yards (tackle by Vontae Davis). Jacoby Ford fumbles (forced by Vontae Davis), ball out of bounds at OAK-14",0.000,-0.280
3,12:45,1,10,OAK 14,20,14,Darren McFadden left end for no gain,-0.280,-0.750
3,11:59,2,10,OAK 14,20,14,Bruce Gradkowski pass incomplete short right intended for Darren McFadden (defended by Koa Misi),-0.750,-1.400
3,11:50,3,10,OAK 14,20,14,Bruce Gradkowski pass incomplete short right intended for Jacoby Ford,-1.400,-2.470
3,11:45,4,10,OAK 14,20,14,"Shane Lechler punts 40 yards, returned by Davone Bess for 10 yards (tackle by Hiram Eugene)",-2.470,-2.650
3,11:34,1,10,OAK 44,20,14,Ricky Williams right end for 12 yards (tackle by Stanford Routt),2.650,3.450
3,11:27,1,10,OAK 32,20,14,Ricky Williams left end for 2 yards (tackle by Nnamdi Asomugha),3.450,3.170
3,10:31,2,8,OAK 30,20,14,Ricky Williams left guard for 1 yard (tackle by Richard Seymour and Tommy Kelly),3.170,2.610
3,9:50,3,7,OAK 29,20,14,"Penalty on Jake Long: False Start, 5 yards (no play)",2.610,1.950
3,9:26,3,12,OAK 34,20,14,Tyler Thigpen middle for 8 yards (tackle by Michael Huff),1.950,1.810
3,8:51,4,4,OAK 26,23,14,Dan Carpenter 44 yard field goal good,1.810,3.000
3,,,,MIA 30,23,14,"Dan Carpenter kicks off 60 yards, returned by Jacoby Ford for 14 yards (tackle by Jonathon Amaya)",0.000,0.540
3,8:41,1,10,OAK 24,23,14,Bruce Gradkowski pass incomplete deep middle intended for Louis Murphy,0.540,0.000
3,8:36,2,10,OAK 24,23,14,Darren McFadden right tackle for -2 yards (tackle by Koa Misi),0.000,-0.960
3,7:59,3,12,OAK 22,23,14,Bruce Gradkowski pass complete short right to Darren McFadden for 7 yards (tackle by Karlos Dansby),-0.960,-1.440
3,7:27,4,5,OAK 29,23,14,Shane Lechler punts 48 yards (tackle by Rock Cartwright),-1.440,-3.580
3,7:08,1,10,OAK 30,23,14,Ronnie Brown middle for 2 yards (tackle by John Henderson),3.580,3.300
3,6:31,2,8,OAK 28,23,14,Ricky Williams right end for -3 yards (tackle by Rolando McClain and Lamarr Houston),3.300,2.210
3,5:50,,,,23,14,Timeout #2 by Miami Dolphins,0.000,2.210
3,5:50,3,11,OAK 31,23,14,"Chad Henne pass incomplete short right intended for Anthony Fasano. Penalty on Walter McFadden: Defensive Holding, 5 yards (no play)",2.210,3.840
3,5:45,1,10,OAK 26,23,14,Ronnie Brown left guard for 2 yards (tackle by Rolando McClain and Thomas Howard),3.840,3.570
3,5:11,2,8,OAK 24,23,14,"Matt Moore left end for 21 yards (tackle by Tyvon Branch). Penalty on Vernon Carey: Offensive Holding, 10 yards (no play)",3.570,2.220
3,4:43,2,18,OAK 34,23,14,Ronnie Brown left tackle for 3 yards,2.220,1.950
3,4:07,3,15,OAK 31,23,14,Chad Henne pass incomplete deep right intended for Marlon Moore,1.950,1.320
3,4:01,4,15,OAK 31,23,14,Dan Carpenter 49 yard field goal no good,1.320,-1.600
3,3:56,1,10,OAK 40,23,14,Bruce Gradkowski pass complete short left to Darren McFadden for 15 yards (tackle by Sean Smith),1.600,2.590
3,3:17,1,10,MIA 45,23,14,Darren McFadden right guard for 6 yards (tackle by Paul Soliai and Tim Dobbins),2.590,2.850
3,2:43,2,4,MIA 39,23,14,Darren McFadden left tackle for 4 yards (tackle by Tim Dobbins and Quentin Moses),2.850,3.250
3,1:58,1,10,MIA 35,23,14,Bruce Gradkowski pass incomplete deep right intended for Jacoby Ford is intercepted by Chris Clemons at MIA-0,3.250,-0.280
3,1:48,1,10,MIA 20,23,14,Ricky Williams left tackle for 1 yard (tackle by Thomas Howard),0.280,-0.130
3,1:14,2,9,MIA 21,23,14,Ricky Williams middle for 1 yard (tackle by Rolando McClain),-0.130,-0.690
3,0:29,3,8,MIA 22,23,14,Chad Henne pass complete short right to Roberto Wallace for 19 yards (tackle by Walter McFadden),-0.690,1.660
Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIA 41,23,14,Ronnie Brown left guard for 2 yards (tackle by John Henderson and Desmond Bryant),1.660,1.390
4,14:54,2,8,MIA 43,23,14,Ronnie Brown middle for 4 yards (tackle by Tommy Kelly and Tyvon Branch),1.390,1.220
4,13:46,3,4,MIA 47,23,14,Chad Henne sacked by Desmond Bryant and Tommy Kelly for -4 yards,1.220,-0.520
4,13:17,4,8,MIA 43,23,14,"Brandon Fields punts 41 yards, returned by Johnnie Lee Higgins for 4 yards (tackle by Jonathon Amaya)",-0.520,-0.280
4,13:08,1,10,OAK 20,23,14,Bruce Gradkowski pass complete deep left to Jacoby Ford for 52 yards (tackle by Chris Clemons),0.280,3.710
4,12:09,1,10,MIA 28,23,14,"Bruce Gradkowski pass complete short middle to Darren McFadden for 4 yards (tackle by Tim Dobbins). Penalty on Tim Dobbins: Tripping, 10 yards",3.710,4.650
4,11:42,1,10,MIA 14,23,14,Darrius Heyward-Bey right end for 2 yards (tackle by Yeremiah Bell),4.650,4.330
4,11:10,2,8,MIA 12,23,14,Bruce Gradkowski pass incomplete short left intended for Jacoby Ford (defended by Benny Sapp),4.330,3.430
4,11:05,3,8,MIA 12,23,14,Bruce Gradkowski pass incomplete short middle intended for Marcel Reece,3.430,2.630
4,11:01,4,8,MIA 12,23,17,Sebastian Janikowski 30 yard field goal good,2.630,3.000
4,,,,OAK 30,23,17,"Sebastian Janikowski kicks off 75 yards, touchback",0.000,0.280
4,10:57,1,10,MIA 20,23,17,Ronnie Brown right end for 5 yards (tackle by Tyvon Branch),0.280,0.410
4,10:34,2,5,MIA 25,23,17,Ronnie Brown middle for 8 yards (tackle by Stanford Routt and Tyvon Branch),0.410,1.140
4,9:55,1,10,MIA 33,23,17,Ronnie Brown left end for 6 yards (tackle by Stanford Routt),1.140,1.400
4,9:09,2,4,MIA 39,23,17,Chad Henne pass complete short left to Brian Hartline for 7 yards,1.400,1.990
4,8:37,1,10,MIA 46,23,17,Ricky Williams left end for -1 yards (tackle by Tyvon Branch),1.990,1.320
4,7:56,2,11,MIA 45,23,17,Chad Henne pass complete deep right to Davone Bess for 29 yards (tackle by Walter McFadden),1.320,3.840
4,7:24,1,10,OAK 26,23,17,Ricky Williams middle for 7 yards (tackle by Tyvon Branch),3.840,4.270
4,6:51,2,3,OAK 19,23,17,Ricky Williams middle for 1 yard (tackle by Lamarr Houston and Tommy Kelly),4.270,3.750
4,6:08,3,2,OAK 18,23,17,Ronnie Brown right end for 3 yards (tackle by Michael Mitchell),3.750,4.580
4,5:28,1,10,OAK 15,23,17,Ronnie Brown middle for 5 yards (tackle by Michael Huff),4.580,4.840
4,4:55,2,5,OAK 10,23,17,Ronnie Brown middle for 2 yards,4.840,4.450
4,4:15,3,3,OAK 8,23,17,Ricky Williams left tackle for 1 yard (tackle by Rolando McClain),4.450,3.000
4,4:07,,,,23,17,Timeout #1 by Oakland Raiders,0.000,3.000
4,4:07,4,2,OAK 7,26,17,Dan Carpenter 25 yard field goal good,3.000,3.000
4,,,,MIA 30,26,17,"Dan Carpenter kicks off 60 yards, returned by Jacoby Ford for 13 yards (tackle by Jonathon Amaya)",0.000,0.480
4,3:59,1,10,OAK 23,26,17,Bruce Gradkowski pass incomplete short middle intended for Darren McFadden,0.480,-0.070
4,3:54,2,10,OAK 23,26,17,Bruce Gradkowski pass complete deep left to Louis Murphy for 17 yards (tackle by Al Harris),-0.070,1.600
4,3:49,1,10,OAK 40,26,17,Bruce Gradkowski pass incomplete short right intended for Louis Murphy,1.600,1.050
4,3:45,2,10,OAK 40,26,17,Bruce Gradkowski pass complete short right to Jacoby Ford for 6 yards (tackle by Vontae Davis),1.050,1.160
4,3:40,3,4,OAK 46,26,17,Bruce Gradkowski pass incomplete short left intended for Jacoby Ford,1.160,-0.320
4,3:36,4,4,OAK 46,26,17,"Bruce Gradkowski pass incomplete short left intended for Jacoby Ford. Penalty on Al Harris: Illegal Use of Hands (Offsetting), Penalty on Cooper Carlisle: Offensive Holding (Offsetting) (no play)",-0.320,-0.320
4,3:32,4,4,OAK 46,26,17,Bruce Gradkowski pass incomplete short middle intended for Johnnie Lee Higgins,-0.320,-2.520
4,3:28,1,10,OAK 46,26,17,Ricky Williams left guard for 1 yard (tackle by Rolando McClain),2.520,2.110
4,3:21,,,,26,17,Timeout #2 by Oakland Raiders,0.000,2.110
4,3:21,2,9,OAK 45,32,17,"Ricky Williams right guard for 45 yards, touchdown",2.110,7.000
4,,,,OAK 2,33,17,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,33,17,"Dan Carpenter kicks off 57 yards, returned by Jacoby Ford for 20 yards (tackle by Lex Hilliard)",0.000,1.140
4,3:07,1,10,OAK 33,33,17,"Penalty on Louis Murphy: False Start, 5 yards (no play)",1.140,0.810
4,3:07,1,15,OAK 28,33,17,Bruce Gradkowski pass complete short middle to Darren McFadden for 6 yards (tackle by Chris Clemons and Tony McDaniel),0.810,0.730
4,2:36,2,9,OAK 34,33,17,Bruce Gradkowski pass complete short right to Louis Murphy for 14 yards (tackle by Vontae Davis),0.730,2.130
4,2:30,1,10,OAK 48,33,17,Bruce Gradkowski pass complete short right to Louis Murphy for 13 yards (tackle by Vontae Davis),2.130,2.980
4,2:25,1,10,MIA 39,33,17,Bruce Gradkowski sacked by Cameron Wake for -5 yards,2.980,1.770
4,2:18,,,,33,17,Timeout #3 by Oakland Raiders,0.000,1.770
4,2:18,2,15,MIA 44,33,17,Bruce Gradkowski pass complete short middle to Darren McFadden for 5 yards (tackle by Vontae Davis),1.770,1.750
4,2:00,3,10,MIA 39,33,17,Bruce Gradkowski pass incomplete short right intended for Jacoby Ford (defended by Benny Sapp),1.750,0.660
4,1:55,4,10,MIA 39,33,17,Bruce Gradkowski pass incomplete short middle intended for Jacoby Ford,0.660,-1.530
4,1:48,1,10,MIA 39,33,17,Chad Henne kneels for -1 yards,1.530,0.850
4,1:07,2,11,MIA 38,33,17,Chad Henne kneels for -1 yards,0.850,0.040
4,0:32,3,12,MIA 37,33,17,Chad Henne kneels for -2 yards,0.040,-1.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
