Unnamed: 0,DAL,ARI
First Downs,20,17
Rush-Yds-TDs,34-126-1,21-86-1
Cmp-Att-Yd-TD-INT,20-29-308-2-0,20-38-216-0-2
Sacked-Yards,0-0,1-7
Net Pass Yards,308,209
Total Yards,434,295
Fumbles-Lost,2-0,2-1
Turnovers,0,3
Penalties-Yards,8-69,5-35
Third Down Conv.,9-14,7-15
Fourth Down Conv.,0-2,2-3
Time of Possession,32:15,27:45
