Unnamed: 0,DEN,LAC
First Downs,13,24
Rush-Yds-TDs,23-98-0,24-73-1
Cmp-Att-Yd-TD-INT,15-28-188-1-0,37-57-238-0-1
Sacked-Yards,4-28,2-14
Net Pass Yards,160,224
Total Yards,258,297
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,10-151,9-89
Third Down Conv.,4-14,11-22
Fourth Down Conv.,0-0,1-3
Time of Possession,28:33,38:49
