Quarter,Time,Tm,Detail,DEN,LAC
1,7:20,Broncos,Brandon McManus 51 yard field goal,3,0
,1:49,Broncos,Greg Dulcich 39 yard pass from Russell Wilson (Brandon McManus kick),10,0
2,9:10,Chargers,Austin Ekeler 6 yard rush (Dustin Hopkins kick),10,7
,0:53,Chargers,Dustin Hopkins 37 yard field goal,10,10
,0:00,Broncos,Brandon McManus 27 yard field goal,13,10
3,9:08,Chargers,Dustin Hopkins 31 yard field goal,13,13
4,8:21,Broncos,Brandon McManus 48 yard field goal,16,13
,3:58,Chargers,Dustin Hopkins 35 yard field goal,16,16
OT,2:38,Chargers,Dustin Hopkins 39 yard field goal,16,19
