Unnamed: 0,NWE,ARI
First Downs,19,21
Rush-Yds-TDs,31-106-1,19-92-1
Cmp-Att-Yd-TD-INT,24-33-264-1-0,24-37-271-2-0
Sacked-Yards,2-7,3-19
Net Pass Yards,257,252
Total Yards,363,344
Fumbles-Lost,3-2,1-0
Turnovers,2,0
Penalties-Yards,8-69,6-58
Third Down Conv.,10-16,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,33:59,26:01
