Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,David Johnson left tackle for 2 yards (tackle by Alan Branch),0.610,0.330
1,14:25,2,8,ARI 27,0,0,Carson Palmer pass complete short left to Jermaine Gresham for 13 yards (tackle by Devin McCourty),0.330,1.600
1,13:45,1,10,ARI 40,0,0,Carson Palmer pass incomplete deep left intended for Michael Floyd,1.600,1.050
1,13:40,2,10,ARI 40,0,0,David Johnson right end for -2 yards (tackle by Jabaal Sheard),1.050,0.100
1,13:03,3,12,ARI 38,0,0,Carson Palmer pass complete short middle to Larry Fitzgerald for 11 yards (tackle by Logan Ryan),0.100,-0.130
1,12:09,4,1,ARI 49,0,0,"Penalty on Donald Butler: Delay of Game, 5 yards (no play)",-0.130,-0.460
1,11:59,4,6,ARI 44,0,0,"Donald Butler punts 38 yards, returned by Danny Amendola for 8 yards (tackle by Deone Bucannon)",-0.460,-0.670
1,11:47,1,10,NWE 26,0,0,Jimmy Garoppolo pass incomplete short right intended for Chris Hogan,0.670,0.130
1,11:41,2,10,NWE 26,0,0,Julian Edelman right end for no gain (tackle by Deone Bucannon),0.130,-0.560
1,11:02,3,10,NWE 26,0,0,Jimmy Garoppolo pass complete short left to Julian Edelman for 11 yards (tackle by Tyrann Mathieu),-0.560,1.400
1,10:29,1,10,NWE 37,0,0,"LeGarrette Blount right end for 2 yards (tackle by Tony Jefferson). Penalty on Ted Karras: Offensive Holding, 9 yards (no play)",1.400,0.810
1,10:01,1,19,NWE 28,0,0,Jimmy Garoppolo pass complete short middle to Julian Edelman for 19 yards (tackle by Tony Jefferson),0.810,2.060
1,9:30,1,10,NWE 47,0,0,LeGarrette Blount middle for 2 yards (tackle by Calais Campbell),2.060,1.790
1,8:47,2,8,NWE 49,0,0,Jimmy Garoppolo pass complete short left to Julian Edelman for 8 yards (tackle by Tony Jefferson),1.790,2.720
1,8:23,1,10,ARI 43,0,0,LeGarrette Blount right tackle for 6 yards (tackle by Kevin Minter),2.720,2.990
1,7:42,2,4,ARI 37,6,0,"Jimmy Garoppolo pass complete deep left to Chris Hogan for 37 yards, touchdown",2.990,7.000
1,7:42,,,ARI 37,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,7:42,,,NWE 35,7,0,"Stephen Gostkowski kicks off 65 yards, returned by Andre Ellington for 11 yards (tackle by Jonathan Jones)",0.000,0.370
1,7:29,1,10,ARI 11,7,0,Carson Palmer pass complete deep left to Michael Floyd for 39 yards,-0.370,2.260
1,7:02,1,10,,7,0,David Johnson middle for 3 yards (tackle by Malcom Brown),2.260,2.120
1,6:26,2,7,NWE 47,7,0,Carson Palmer pass incomplete short right intended for David Johnson,2.120,1.420
1,6:22,3,7,NWE 47,7,0,Carson Palmer pass incomplete deep left intended for JJ Nelson,1.420,0.130
1,6:18,4,7,NWE 47,7,0,"Donald Butler punts 39 yards, fair catch by Danny Amendola",0.130,0.380
1,6:12,1,10,NWE 8,7,0,Jimmy Garoppolo pass complete short left to James White for 21 yards (tackle by Kevin Minter),-0.380,0.870
1,5:40,1,10,NWE 29,7,0,LeGarrette Blount right tackle for 1 yard (tackle by Deone Bucannon),0.870,0.460
1,5:03,2,9,NWE 30,7,0,Jimmy Garoppolo pass incomplete short right intended for James White,0.460,-0.230
1,4:57,3,9,NWE 30,7,0,"Penalty on Robert Nkemdiche: Neutral Zone Infraction, 5 yards (no play)",-0.230,0.430
1,4:57,3,4,NWE 35,7,0,James White middle for 4 yards (tackle by Kevin Minter),0.430,1.530
1,4:27,1,10,NWE 39,7,0,LeGarrette Blount middle for 13 yards (tackle by Tyvon Branch),1.530,2.390
1,3:50,1,10,ARI 48,7,0,Jimmy Garoppolo pass complete short right to Julian Edelman for 3 yards (tackle by Tyrann Mathieu and Frostee Rucker),2.390,2.250
1,3:18,2,7,ARI 45,7,0,LeGarrette Blount right tackle for 2 yards (tackle by Tony Jefferson),2.250,1.820
1,2:40,3,5,ARI 43,7,0,Jimmy Garoppolo pass complete short right to James White for 7 yards (tackle by Tyrann Mathieu),1.820,3.180
1,2:02,1,10,ARI 36,7,0,Jimmy Garoppolo pass incomplete deep middle intended for Malcolm Mitchell,3.180,2.640
1,1:56,2,10,ARI 36,7,0,Julian Edelman left end for 7 yards (tackle by Tony Jefferson),2.640,2.870
1,1:10,3,3,ARI 29,7,0,Jimmy Garoppolo pass incomplete short left intended for Danny Amendola (defended by Tyvon Branch),2.870,1.580
1,1:05,4,3,ARI 29,10,0,Stephen Gostkowski 47 yard field goal good,1.580,3.000
1,1:05,,,NWE 35,10,0,"Stephen Gostkowski kicks off 67 yards, returned by Andre Ellington for 21 yards (tackle by Devin McCourty)",0.000,-0.150
