Unnamed: 0,ARI,TAM
First Downs,20,26
Rush-Yds-TDs,18-75-0,26-118-2
Cmp-Att-Yd-TD-INT,28-45-350-3-1,30-48-358-1-2
Sacked-Yards,2-8,4-19
Net Pass Yards,342,339
Total Yards,417,457
Fumbles-Lost,1-1,2-1
Turnovers,2,3
Penalties-Yards,11-87,9-94
Third Down Conv.,1-10,7-15
Fourth Down Conv.,2-3,0-0
Time of Possession,23:57,36:03
