Quarter,Time,Tm,Detail,ARI,TAM
1.0,11:13,Cardinals,Zane Gonzalez 37 yard field goal,3,0
,3:42,Buccaneers,Ronald Jones II 7 yard rush (Matt Gay kick),3,7
2.0,14:14,Cardinals,Zane Gonzalez 54 yard field goal,6,7
,8:53,Buccaneers,Matt Gay 30 yard field goal,6,10
,1:03,Cardinals,Christian Kirk 33 yard pass from Kyler Murray (Zane Gonzalez kick),13,10
,0:08,Buccaneers,O.J. Howard 10 yard pass from Jameis Winston (Matt Gay kick),13,17
3.0,8:37,Buccaneers,Matt Gay 45 yard field goal,13,20
,8:10,Cardinals,Christian Kirk 69 yard pass from Kyler Murray (Zane Gonzalez kick),20,20
4.0,9:44,Buccaneers,Matt Gay 41 yard field goal,20,23
,7:22,Cardinals,Christian Kirk 15 yard pass from Kyler Murray (Zane Gonzalez kick),27,23
,1:43,Buccaneers,Peyton Barber 1 yard rush (Matt Gay kick),27,30
