Unnamed: 0,WAS,PHI
First Downs,16,18
Rush-Yds-TDs,31-146-0,34-145-0
Cmp-Att-Yd-TD-INT,16-32-132-0-1,12-26-257-2-0
Sacked-Yards,0-0,1-2
Net Pass Yards,132,255
Total Yards,278,400
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,8-58,7-65
Third Down Conv.,3-13,6-15
Fourth Down Conv.,1-2,1-1
Time of Possession,29:31,30:29
