Unnamed: 0,SEA,MIN
First Downs,10,28
Rush-Yds-TDs,12-4-1,37-160-0
Cmp-Att-Yd-TD-INT,19-29-231-0-1,28-33-290-5-0
Sacked-Yards,2-23,2-19
Net Pass Yards,208,271
Total Yards,212,431
Fumbles-Lost,4-1,0-0
Turnovers,2,0
Penalties-Yards,10-64,5-31
Third Down Conv.,1-10,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,17:49,42:11
