Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
2,14:32,1,10,ARI 29,0,14,Damon Huard pass complete short left to Samie Parker for no gain,3.640,3.100
2,13:53,2,10,ARI 29,0,14,Damon Huard pass complete short left to Kris Wilson for 2 yards (tackle by Eric Green and Orlando Huff),3.100,2.680
2,13:06,3,8,ARI 27,0,14,"Penalty on Tony Gonzalez: False Start, 5 yards (no play)",2.680,2.020
2,12:50,3,13,ARI 32,0,14,Damon Huard pass complete short left to Larry Johnson for 5 yards (tackle by Karlos Dansby),2.020,1.670
2,12:06,4,8,ARI 27,3,14,Lawrence Tynes 45 yard field goal good,1.670,3.000
2,12:01,,,KAN 30,3,14,"Lawrence Tynes kicks off 65 yards, returned by J.J. Arrington for 23 yards (tackle by Kris Griffin)",0.000,0.810
2,11:54,1,10,ARI 28,3,14,Matt Leinart pass complete short left to Anquan Boldin for 7 yards (tackle by Lenny Walls and Kawika Mitchell),0.810,1.210
2,11:13,2,3,ARI 35,3,14,Matt Leinart pass complete short right to Troy Walters for 6 yards (tackle by Patrick Surtain),1.210,1.660
2,10:37,1,10,ARI 41,3,14,Matt Leinart sacked by Tamba Hali for -10 yards,1.660,-0.230
2,10:01,2,20,ARI 31,3,14,Matt Leinart pass incomplete short left intended for Leonard Pope,-0.230,-0.890
2,9:57,3,20,ARI 31,3,14,Matt Leinart pass incomplete short right intended for Marcel Shipp,-0.890,-1.310
2,9:53,4,20,ARI 31,3,14,"Scott Player punts 54 yards, returned by Dante Hall for 36 yards (tackle by Darnell Dockett). Penalty on Dee Brown: Illegal Block Above the (Declined), Penalty on Kris Griffin: Defensive Holding, 7 yards",-1.310,0.380
2,9:35,1,10,KAN 8,3,14,Larry Johnson middle for 4 yards (tackle by Gerald Hayes),-0.380,-0.490
2,9:03,2,6,KAN 12,3,14,Larry Johnson left end for 4 yards (tackle by Karlos Dansby),-0.490,-0.480
2,8:17,3,2,KAN 16,3,14,Damon Huard pass complete short middle to Samie Parker for 7 yards (tackle by Eric Green),-0.480,0.480
2,7:37,1,10,KAN 23,3,14,Damon Huard pass complete short right to Dante Hall for 7 yards (tackle by Calvin Pace),0.480,0.880
2,6:59,2,3,KAN 30,3,14,Larry Johnson right tackle for 1 yard (tackle by Orlando Huff),0.880,0.300
2,6:18,3,2,KAN 31,3,14,Damon Huard pass incomplete short right intended for Eddie Kennison (defended by Chike Okeafor),0.300,-1.310
2,6:15,4,2,KAN 31,3,14,"Dustin Colquitt punts 44 yards, returned by Troy Walters for 10 yards (tackle by Kris Griffin)",-1.310,-1.270
2,6:05,1,10,ARI 35,3,14,Edgerrin James left end for no gain (tackle by James Reed and Kawika Mitchell),1.270,0.720
2,5:21,2,10,ARI 35,3,14,Matt Leinart sacked by Jared Allen for -5 yards,0.720,-0.630
2,4:51,3,15,ARI 30,3,14,Matt Leinart sacked by Ron Edwards for -8 yards,-0.630,-1.900
2,4:28,4,23,ARI 22,3,14,"Scott Player punts, blocked by Bernard Pollard",-1.900,-5.830
2,4:23,1,6,ARI 6,3,14,Larry Johnson left end for -3 yards (tackle by Bertrand Berry),5.830,4.380
2,3:40,2,9,ARI 9,3,14,Damon Huard pass incomplete short right intended for Ronnie Cruz (defended by Gerald Hayes),4.380,3.360
2,3:33,3,9,ARI 9,9,14,"Damon Huard pass complete short middle to Larry Johnson for 9 yards, touchdown. Penalty on Chike Okeafor: Defensive Offside (Declined)",3.360,7.000
2,3:33,,,ARI 2,10,14,Lawrence Tynes kicks extra point good,0.000,0.000
2,3:26,,,KAN 30,10,14,"Lawrence Tynes kicks off 69 yards, returned by J.J. Arrington for 25 yards (tackle by Jarrad Page)",0.000,0.670
2,3:21,1,10,ARI 26,10,14,Edgerrin James right tackle for 4 yards (tackle by Jared Allen),0.670,0.670
2,2:45,2,6,ARI 30,10,14,Edgerrin James left tackle for 2 yards (tackle by Patrick Surtain),0.670,0.230
2,2:01,3,4,ARI 32,10,14,Matt Leinart pass incomplete short right intended for Anquan Boldin (defended by Tamba Hali),0.230,-1.240
2,1:57,4,4,ARI 32,10,14,Scott Player punts 35 yards,-1.240,-1.140
2,1:45,1,10,KAN 33,10,14,"Larry Johnson middle for 4 yards (tackle by Bertrand Berry). Penalty on Brian Waters: Offensive Holding, 10 yards (no play)",1.140,0.480
2,1:39,1,20,KAN 23,10,14,"Larry Johnson middle for 9 yards (tackle by Eric Green). Larry Johnson fumbles (forced by Eric Green), recovered by Eric Green at KAN-32 (tackle by Larry Johnson)",0.480,-3.450
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:32,1,10,KAN 32,10,14,Edgerrin James right end for 5 yards (tackle by Ty Law),3.450,3.580
2,1:02,2,5,KAN 27,10,14,Matt Leinart pass incomplete short right intended for Leonard Pope (defended by Ron Edwards),3.580,2.870
2,0:59,3,5,KAN 27,10,14,Matt Leinart right end for 4 yards (tackle by Tamba Hali),2.870,2.080
2,0:47,,,,10,14,Timeout #1 by Kansas City Chiefs,0.000,2.080
2,0:47,4,1,KAN 23,10,17,Neil Rackers 41 yard field goal good,2.080,3.000
2,0:42,,,ARI 30,10,17,"Neil Rackers kicks off 63 yards, returned by Dante Hall for 21 yards (tackle by Obafemi Ayanbadejo)",0.000,0.810
2,0:37,1,10,KAN 28,10,17,Damon Huard pass complete short left to Larry Johnson for 12 yards (tackle by Antrel Rolle),0.810,1.600
2,0:30,1,10,KAN 40,10,17,Damon Huard sacked by Karlos Dansby for -9 yards,1.600,-0.160
2,0:07,2,19,KAN 31,10,17,Damon Huard pass complete short right to Dante Hall for 3 yards (tackle by Antrel Rolle),-0.160,-0.430
Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,10,17,"Neil Rackers kicks off 68 yards, returned by Dante Hall for 21 yards (tackle by Calvin Pace)",0.000,0.480
3,14:54,1,10,KAN 23,10,17,Larry Johnson right tackle for 3 yards (tackle by Orlando Huff),0.480,0.340
3,14:12,2,7,KAN 26,10,17,Damon Huard pass incomplete deep left intended for Eddie Kennison (defended by Eric Green),0.340,-0.360
3,14:06,3,7,KAN 26,10,17,Damon Huard sacked by Karlos Dansby for -8 yards,-0.360,-2.240
3,13:51,4,15,KAN 18,10,17,"Dustin Colquitt punts 62 yards, returned by Troy Walters for 11 yards (tackle by Keyaron Fox)",-2.240,-1.000
3,13:37,1,10,ARI 31,10,17,"Matt Leinart pass incomplete deep middle intended for Bryant Johnson. Penalty on Patrick Surtain: Defensive Pass Interfere, 17 yards (no play)",1.000,2.130
3,13:31,1,10,ARI 48,10,17,Edgerrin James right end for 11 yards (tackle by Sammy Knight),2.130,2.850
3,13:10,1,10,KAN 41,10,17,Edgerrin James left end for 12 yards (tackle by Greg Wesley),2.850,3.640
3,12:31,1,10,KAN 29,10,17,Matt Leinart pass complete short right to Obafemi Ayanbadejo for no gain,3.640,3.100
3,11:52,2,10,KAN 29,10,17,Edgerrin James right tackle for 2 yards (tackle by Derrick Johnson),3.100,2.680
3,11:07,3,8,KAN 27,10,17,Matt Leinart pass complete short left to Anquan Boldin for no gain,2.680,1.670
3,10:13,4,8,KAN 27,10,20,Neil Rackers 45 yard field goal good,1.670,3.000
3,10:06,,,ARI 30,10,20,"Neil Rackers kicks off 69 yards, returned by Jeff Webb for 50 yards (tackle by Neil Rackers)",0.000,2.320
3,9:58,1,10,ARI 49,10,20,"Larry Johnson left tackle for 1 yard (tackle by Gerald Hayes). Penalty on Jordan Black: Offensive Holding, 10 yards (no play)",2.320,1.660
3,9:36,1,20,KAN 41,10,20,Damon Huard pass complete short middle to Larry Johnson for 3 yards (tackle by Karlos Dansby),1.660,0.840
3,8:55,2,17,KAN 44,10,20,Damon Huard pass complete short right to Larry Johnson for -1 yards (tackle by Karlos Dansby),0.840,0.040
3,8:12,3,18,KAN 43,10,20,Damon Huard pass incomplete short right intended for Larry Johnson,0.040,-0.520
3,8:06,4,18,KAN 43,10,20,"Dustin Colquitt punts 57 yards, touchback",-0.520,-0.280
3,7:55,1,10,ARI 20,10,20,Edgerrin James middle for 2 yards (tackle by Ron Edwards),0.280,0.000
3,7:16,2,8,ARI 22,10,20,Anquan Boldin left end for 1 yard (tackle by Patrick Surtain),0.000,-0.560
3,6:45,3,7,ARI 23,10,20,"Matt Leinart pass complete short right to Obafemi Ayanbadejo for 9 yards (tackle by Patrick Surtain). Obafemi Ayanbadejo fumbles (forced by Patrick Surtain), recovered by Adam Bergen at ARI-32 and returned for 1 yards",-0.560,1.140
3,6:08,1,10,ARI 33,10,20,Edgerrin James left end for -4 yards (tackle by Ryan Sims),1.140,0.050
3,5:24,2,14,ARI 29,10,20,Matt Leinart pass complete deep left to Bryant Johnson for 26 yards (tackle by Sammy Knight),0.050,2.590
3,5:24,1,10,KAN 45,10,20,Edgerrin James left end for no gain (tackle by Jared Allen),2.590,2.040
3,4:10,2,10,KAN 45,10,20,Edgerrin James left tackle for 1 yard (tackle by Jimmy Wilkerson),2.040,1.490
3,3:27,3,9,KAN 44,10,20,"Penalty on Leonard Davis: False Start, 5 yards (no play)",1.490,0.830
3,3:08,3,14,KAN 49,10,20,Matt Leinart pass incomplete deep left intended for Bryant Johnson,0.830,0.000
3,3:00,4,14,KAN 49,10,20,"Scott Player punts 49 yards, touchback",0.000,-0.280
3,2:50,1,10,KAN 20,10,20,Damon Huard pass incomplete short left intended for Larry Johnson,0.280,-0.270
3,2:44,2,10,KAN 20,10,20,Damon Huard pass incomplete short left intended for Eddie Kennison (defended by Chris Cooper),-0.270,-0.960
3,2:40,3,10,KAN 20,10,20,Damon Huard pass complete deep middle to Tony Gonzalez for 25 yards (tackle by Robert Griffith),-0.960,1.930
3,2:05,1,10,KAN 45,10,20,Larry Johnson left tackle for no gain (tackle by Aaron Francisco),1.930,1.380
3,1:24,2,10,KAN 45,10,20,Damon Huard pass complete short left to Rod Gardner for 13 yards,1.380,2.790
3,0:57,1,10,ARI 42,10,20,Damon Huard pass complete short right to Rod Gardner for 4 yards (tackle by Antrel Rolle),2.790,2.780
3,0:20,2,6,ARI 38,10,20,Damon Huard pass incomplete short right intended for Rod Gardner (defended by Antrel Rolle),2.780,2.080
3,0:15,3,6,ARI 38,10,20,Damon Huard pass incomplete deep left intended for Eddie Kennison (defended by Robert Griffith),2.080,0.720
3,0:09,4,6,ARI 38,10,20,"Dustin Colquitt punts 38 yards, touchback",0.720,-0.280
3,0:02,1,10,ARI 20,10,20,Edgerrin James middle for 9 yards (tackle by Greg Wesley),0.280,0.950
Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,ARI 29,10,20,Edgerrin James right tackle for no gain (tackle by Jarrad Page and Tamba Hali),0.950,0.230
4,14:21,3,1,ARI 29,10,20,Edgerrin James left tackle for no gain (tackle by James Reed and Kawika Mitchell),0.230,-1.440
4,13:47,4,1,ARI 29,10,20,"Scott Player punts 37 yards, out of bounds",-1.440,-1.200
4,13:39,1,10,KAN 34,10,20,Larry Johnson middle for 4 yards (tackle by Darnell Dockett),1.200,1.200
4,12:58,2,6,KAN 38,10,20,Damon Huard pass complete deep middle to Eddie Kennison for 17 yards (tackle by Robert Griffith),1.200,2.590
4,12:21,1,10,ARI 45,10,20,Larry Johnson middle for 2 yards (tackle by Chike Okeafor),2.590,2.310
4,11:46,2,8,ARI 43,10,20,Damon Huard pass complete short right to Ronnie Cruz for 11 yards (tackle by Antrel Rolle),2.310,3.450
4,11:26,1,10,ARI 32,10,20,Damon Huard pass complete short right to Samie Parker for 14 yards (tackle by Antrel Rolle),3.450,4.370
4,10:46,1,10,ARI 18,10,20,"Damon Huard sacked by Chris Cooper for -2 yards. Penalty on Gerald Hayes: Illegal Contact, 5 yards (no play)",4.370,4.710
4,10:19,1,10,ARI 13,10,20,Larry Johnson left tackle for -2 yards (tackle by Chike Okeafor),4.710,3.760
4,9:42,2,12,ARI 15,16,20,"Damon Huard pass complete short right to Samie Parker for 15 yards, touchdown. Penalty on Robert Tate: Defensive Pass Interfere (Declined)",3.760,7.000
,,,,,,,"KAN challenged the ruling, and the original play was overturned.",,
4,9:42,,,ARI 2,17,20,Lawrence Tynes kicks extra point good,0.000,0.000
4,9:35,,,KAN 30,17,20,"Lawrence Tynes kicks off 69 yards, returned by J.J. Arrington for 35 yards (tackle by Jeff Webb)",0.000,1.330
4,9:29,1,10,ARI 36,17,20,Matt Leinart pass complete short middle to Edgerrin James for 14 yards (tackle by Jared Allen),1.330,2.260
4,8:48,1,10,,17,20,Matt Leinart pass incomplete short left intended for Bryant Johnson,2.260,1.710
4,8:43,2,10,,17,20,Matt Leinart pass complete short left to Bryant Johnson for 6 yards (tackle by Patrick Surtain),1.710,1.820
4,8:14,3,4,KAN 44,17,20,Matt Leinart pass complete short middle to Bryant Johnson for 2 yards (tackle by Sammy Knight),1.820,0.460
4,8:14,4,2,KAN 42,17,20,"Scott Player punts 42 yards, touchback",0.460,-0.280
4,7:28,1,10,KAN 20,17,20,Larry Johnson left end for 2 yards (tackle by Eric Green),0.280,0.000
4,6:50,2,8,KAN 22,17,20,Larry Johnson left tackle for 2 yards (tackle by Adrian Wilson),0.000,-0.430
4,6:12,3,6,KAN 24,17,20,Damon Huard pass incomplete deep left intended for Samie Parker,-0.430,-1.770
4,6:06,4,6,KAN 24,17,20,"Dustin Colquitt punts 51 yards, out of bounds. Penalty on Antrel Rolle: Defensive Holding, 10 yards",-1.770,0.220
4,5:58,1,10,ARI 15,17,20,"Penalty on Leonard Pope: False Start, 5 yards (no play)",-0.220,-0.570
4,5:58,1,15,ARI 10,17,20,Matt Leinart pass incomplete short right intended for Anquan Boldin is intercepted by Ty Law at ARI-22,-0.570,-4.110
4,5:53,1,10,ARI 22,17,20,Larry Johnson right tackle for no gain (tackle by Karlos Dansby),4.110,3.560
4,5:19,2,10,ARI 22,17,20,Damon Huard pass incomplete short left intended for Tony Gonzalez (defended by Adrian Wilson),3.560,2.870
4,5:13,,,,17,20,Timeout #1 by Arizona Cardinals,0.000,2.870
4,5:12,3,10,ARI 22,17,20,Damon Huard pass incomplete short right intended for Eddie Kennison (defended by Antrel Rolle),2.870,1.990
4,5:06,4,10,ARI 22,20,20,Lawrence Tynes 40 yard field goal good,1.990,3.000
4,5:06,,,KAN 30,20,20,"Lawrence Tynes kicks off 67 yards, returned by J.J. Arrington for 25 yards (tackle by Bernard Pollard)",0.000,0.810
4,4:55,1,10,ARI 28,20,20,Edgerrin James left tackle for 3 yards (tackle by James Reed),0.810,0.670
4,4:23,2,7,ARI 31,20,20,Edgerrin James middle for 7 yards (tackle by Bernard Pollard),0.670,1.470
4,3:39,1,10,ARI 38,20,20,Matt Leinart pass complete deep left to Bryant Johnson for 21 yards (tackle by Ty Law),1.470,2.850
4,3:31,1,10,KAN 41,20,20,"Edgerrin James left end for 1 yard (tackle by Jared Allen). Penalty on Leonard Davis: Offensive Holding, 10 yards (no play)",2.850,2.190
4,3:25,1,20,ARI 49,20,20,Matt Leinart pass complete short right to Anquan Boldin for 15 yards,2.190,2.980
4,3:18,2,5,KAN 36,20,20,Matt Leinart sacked by Kendrell Bell for -8 yards,2.980,1.220
4,2:40,3,13,KAN 44,20,20,Matt Leinart pass incomplete deep left intended for Anquan Boldin (defended by Greg Wesley),1.220,0.330
4,2:36,4,13,KAN 44,20,20,Scott Player punts 37 yards (tackle by Aaron Francisco),0.330,0.320
4,2:31,1,10,KAN 13,20,20,"Damon Huard pass complete short left to Larry Johnson for 78 yards (tackle by Antrel Rolle). Penalty on Antrel Rolle: Face Mask (15 Yards), 5 yards",-0.320,6.280
4,2:15,1,4,ARI 4,20,20,Dee Brown left tackle for 2 yards (tackle by Adrian Wilson and Antonio Smith),6.280,5.720
4,2:00,2,2,ARI 2,20,20,Dee Brown left tackle for -1 yards (tackle by Kendrick Clancy),5.720,4.720
4,1:51,,,,20,20,Timeout #2 by Arizona Cardinals,0.000,4.720
4,1:49,3,3,ARI 3,20,20,"Dee Brown right tackle for 1 yard (tackle by Karlos Dansby). Dee Brown fumbles (forced by Karlos Dansby), recovered by Jason Dunn at ARI-2",4.720,3.250
4,1:39,,,,20,20,Timeout #3 by Arizona Cardinals,0.000,3.250
4,1:39,4,2,ARI 2,23,20,Lawrence Tynes 19 yard field goal good,3.250,3.000
4,1:36,,,KAN 30,23,20,"Lawrence Tynes kicks off 75 yards, returned by J.J. Arrington for 24 yards. Penalty on Obafemi Ayanbadejo: Illegal Block Above the , 10 yards",0.000,-0.380
4,1:31,1,10,ARI 9,23,20,Matt Leinart pass incomplete short right intended for Troy Walters (defended by Ty Law),-0.380,-0.780
4,1:25,2,10,ARI 9,23,20,Matt Leinart pass complete short right to Edgerrin James for 11 yards (tackle by Patrick Surtain and Derrick Johnson),-0.780,0.280
4,0:48,1,10,ARI 20,23,20,Matt Leinart pass complete short right to Edgerrin James for 4 yards (tackle by Patrick Surtain),0.280,0.270
4,0:46,2,6,ARI 24,23,20,Matt Leinart spiked the ball,0.270,-0.430
4,0:44,3,6,ARI 24,23,20,Matt Leinart pass complete short left to Edgerrin James for 1 yard (tackle by Lenny Walls),-0.430,-1.700
4,0:40,4,5,ARI 25,23,20,Matt Leinart pass complete short left to Bryant Johnson for 16 yards (tackle by Kawika Mitchell),-1.700,1.660
4,0:34,1,10,ARI 41,23,20,Matt Leinart spiked the ball,1.660,1.120
4,0:18,2,10,ARI 41,23,20,Matt Leinart pass complete deep middle to Troy Walters for 26 yards (tackle by Greg Wesley),1.120,3.380
4,0:07,1,10,KAN 33,23,20,Matt Leinart spiked the ball,3.380,2.840
4,0:07,2,10,KAN 33,23,20,Neil Rackers 51 yard field goal no good,2.840,-1.660
4,0:02,1,10,KAN 41,23,20,Damon Huard kneels for -1 yards,1.660,0.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
