Quarter,Time,Tm,Detail,KAN,ARI
1.0,12:19,Cardinals,Anquan Boldin 49 yard pass from Matt Leinart (Neil Rackers kick),0,7
,6:12,Cardinals,Larry Fitzgerald 5 yard pass from Matt Leinart (Neil Rackers kick),0,14
2.0,12:01,Chiefs,Lawrence Tynes 45 yard field goal,3,14
,3:26,Chiefs,Larry Johnson 9 yard pass from Damon Huard (Lawrence Tynes kick),10,14
,0:42,Cardinals,Neil Rackers 41 yard field goal,10,17
3.0,10:06,Cardinals,Neil Rackers 45 yard field goal,10,20
4.0,9:35,Chiefs,Samie Parker 15 yard pass from Damon Huard (Lawrence Tynes kick),17,20
,5:06,Chiefs,Lawrence Tynes 40 yard field goal,20,20
,1:36,Chiefs,Lawrence Tynes 19 yard field goal,23,20
