Unnamed: 0,MIN,GNB
First Downs,19,21
Rush-Yds-TDs,32-111-1,19-90-0
Cmp-Att-Yd-TD-INT,17-28-244-4-0,27-42-290-3-0
Sacked-Yards,0-0,6-29
Net Pass Yards,244,261
Total Yards,355,351
Fumbles-Lost,2-2,3-0
Turnovers,2,0
Penalties-Yards,3-29,6-45
Third Down Conv.,6-14,7-16
Fourth Down Conv.,1-3,0-1
Time of Possession,27:28,32:32
