Unnamed: 0,IND,BUF
First Downs,28,19
Rush-Yds-TDs,46-264-4,13-91-0
Cmp-Att-Yd-TD-INT,11-20-106-1-0,24-40-228-2-3
Sacked-Yards,0-0,1-8
Net Pass Yards,106,220
Total Yards,370,311
Fumbles-Lost,1-0,2-1
Turnovers,0,4
Penalties-Yards,3-30,7-56
Third Down Conv.,8-12,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,37:47,22:13
