Quarter,Time,Tm,Detail,IND,BUF
1.0,8:55,Colts,Jonathan Taylor 3 yard rush (Michael Badgley kick),7,0
,1:38,Colts,Jonathan Taylor 23 yard pass from Carson Wentz (Michael Badgley kick),14,0
2.0,10:44,Bills,Stefon Diggs 6 yard pass from Josh Allen (Tyler Bass kick),14,7
,2:12,Colts,Michael Badgley 36 yard field goal,17,7
,1:59,Colts,Jonathan Taylor 2 yard rush (Michael Badgley kick),24,7
3.0,5:27,Colts,Jonathan Taylor 10 yard rush (Michael Badgley kick),31,7
,0:58,Colts,Jonathan Taylor 1 yard rush (Michael Badgley kick),38,7
4.0,12:42,Bills,Stefon Diggs 9 yard pass from Josh Allen (Josh Allen run),38,15
,6:23,Colts,Michael Badgley 35 yard field goal,41,15
