Unnamed: 0,LAC,JAX
First Downs,27,15
Rush-Yds-TDs,30-195-2,23-88-0
Cmp-Att-Yd-TD-INT,19-27-340-4-0,25-38-171-1-0
Sacked-Yards,1-10,2-7
Net Pass Yards,330,164
Total Yards,525,252
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,6-65,10-101
Third Down Conv.,6-8,4-15
Fourth Down Conv.,0-0,2-4
Time of Possession,29:23,30:37
