Quarter,Time,Tm,Detail,LAC,JAX
1.0,7:23,Jaguars,Josh Lambo 26 yard field goal,0,3
,5:46,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),7,3
2.0,5:18,Chargers,Derek Watt 1 yard rush (Michael Badgley kick),14,3
,1:34,Chargers,Hunter Henry 30 yard pass from Philip Rivers (Michael Badgley kick),21,3
,0:03,Chargers,Michael Badgley 40 yard field goal,24,3
3.0,13:53,Chargers,Austin Ekeler 84 yard pass from Philip Rivers (Michael Badgley kick),31,3
,5:48,Jaguars,Nick O'Leary 12 yard pass from Gardner Minshew II (Josh Lambo kick),31,10
,1:51,Chargers,Mike Williams 44 yard pass from Philip Rivers (Michael Badgley kick),38,10
4.0,10:53,Chargers,Virgil Green 14 yard pass from Tyrod Taylor (Michael Badgley kick),45,10
