Quarter,Time,Tm,Detail,STL,GNB
1.0,12:09,Packers,Ty Montgomery 31 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,0:53,Packers,Quinten Rollins 45 yard interception return (Mason Crosby kick),0,14
2.0,7:12,Rams,Tavon Austin 5 yard pass from Nick Foles (Greg Zuerlein kick),7,14
,1:40,Rams,Greg Zuerlein 42 yard field goal,10,14
3.0,12:41,Packers,James Jones 65 yard pass from Aaron Rodgers (Mason Crosby kick),10,21
4.0,1:03,Packers,Mason Crosby 35 yard field goal,10,24
