Quarter,Time,Down,ToGo,Location,STL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,STL 20,0,0,Todd Gurley middle for 2 yards (tackle by Clay Matthews),0.280,0.000
1,14:19,2,8,STL 22,0,0,Nick Foles pass incomplete short right intended for Kenny Britt,0.000,-0.690
1,14:12,3,8,STL 22,0,0,Nick Foles pass incomplete short middle intended for Jared Cook (defended by Micah Hyde),-0.690,-1.900
1,14:07,4,8,STL 22,0,0,"Johnny Hekker punts 43 yards, returned by Micah Hyde for 9 yards (tackle by Cory Harkey)",-1.900,-1.860
1,13:57,1,10,GNB 44,0,0,Eddie Lacy right tackle for 3 yards (tackle by Robert Quinn),1.860,1.720
1,13:32,2,7,GNB 47,0,0,Aaron Rodgers pass incomplete deep left intended for Ty Montgomery,1.720,1.030
1,13:27,3,7,GNB 47,0,0,Aaron Rodgers middle for 18 yards (tackle by Rodney McLeod),1.030,3.250
1,12:58,1,10,STL 35,0,0,Eddie Lacy right end for -1 yards (tackle by James Laurinaitis and William Hayes),3.250,2.570
1,12:20,2,11,STL 36,0,0,Aaron Rodgers pass incomplete short left intended for Randall Cobb,2.570,1.880
1,12:16,3,11,STL 36,0,0,"Penalty on Nick Fairley: Neutral Zone Infraction, 5 yards (no play)",1.880,2.540
1,12:16,3,6,STL 31,0,6,"Aaron Rodgers pass complete short middle to Ty Montgomery for 31 yards, touchdown",2.540,7.000
1,12:16,,,STL 31,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,12:16,,,GNB 35,0,7,"Mason Crosby kicks off 65 yards, returned by Benny Cunningham for 25 yards (tackle by Micah Hyde)",0.000,-0.610
1,12:04,1,10,STL 25,0,7,Todd Gurley left end for no gain (tackle by Mike Daniels and Nick Perry),0.610,0.060
1,11:25,2,10,STL 25,0,7,Todd Gurley right end for 3 yards (tackle by Jayrone Elliott),0.060,0.060
1,10:37,2,10,STL 25,0,7,Timeout #1 by Los Angeles Rams,0.060,-0.230
1,10:37,3,7,STL 28,0,7,Nick Foles pass complete short left to Brian Quick for 10 yards,-0.230,1.470
1,10:13,1,10,STL 38,0,7,Nick Foles pass incomplete deep middle intended for Kenny Britt,1.470,0.920
1,10:06,2,10,STL 38,0,7,Todd Gurley middle for no gain (tackle by Mike Daniels and Mike Pennel),0.920,0.230
1,9:25,3,10,STL 38,0,7,Nick Foles pass complete deep middle to Benny Cunningham for 17 yards (tackle by Chris Banjo). Penalty on Joe Thomas: Illegal Contact (Declined),0.230,2.590
1,9:03,1,10,GNB 45,0,7,Todd Gurley right tackle for 11 yards (tackle by Micah Hyde),2.590,3.310
1,8:24,1,10,GNB 34,0,7,Todd Gurley left tackle for 1 yard (tackle by B.J. Raji),3.310,2.910
1,7:46,2,9,GNB 33,0,7,Nick Foles sacked by Clay Matthews and Nick Perry for -7 yards,2.910,1.290
1,7:01,3,16,GNB 40,0,7,Nick Foles pass incomplete short middle intended for Kenny Britt,1.290,0.590
1,7:01,4,16,GNB 40,0,7,"Penalty on Johnny Hekker: Delay of Game, 5 yards (no play)",0.590,0.270
1,6:48,4,21,GNB 45,0,7,"Johnny Hekker punts 45 yards, touchback",0.270,-0.280
1,6:48,1,10,GNB 20,0,7,Aaron Rodgers pass complete short left to James Starks for 19 yards (tackle by William Hayes),0.280,1.530
1,6:08,1,10,GNB 39,0,7,Aaron Rodgers pass incomplete short right intended for Randall Cobb,1.530,0.990
1,6:05,2,10,GNB 39,0,7,"James Starks left tackle for 1 yard (tackle by Mark Barron). Penalty on William Hayes: Defensive Offside, 5 yards (no play)",0.990,1.660
1,5:36,2,5,GNB 44,0,7,James Starks left guard for 6 yards (tackle by T.J. McDonald),1.660,2.260
1,5:09,1,10,,0,7,Aaron Rodgers pass complete short right to Ty Montgomery for 6 yards (tackle by Trumaine Johnson),2.260,2.520
1,4:42,2,4,STL 44,0,7,Eddie Lacy right tackle for 2 yards (tackle by T.J. McDonald),2.520,2.080
1,4:13,3,2,STL 42,0,7,Aaron Rodgers pass incomplete short right intended for Richard Rodgers is intercepted by James Laurinaitis at STL-43,2.080,-1.800
1,4:07,1,10,STL 43,0,7,Todd Gurley left end for 2 yards (tackle by Mike Daniels),1.800,1.520
1,3:30,2,8,STL 45,0,7,Nick Foles pass incomplete deep right intended for Stedman Bailey,1.520,0.830
1,3:25,3,8,STL 45,0,7,Nick Foles pass incomplete short middle intended for Kenny Britt is intercepted by Micah Hyde at GNB-48 and returned for 2 yards,0.830,-2.260
1,3:19,1,10,,0,7,Aaron Rodgers pass complete short right to Richard Rodgers for 4 yards (tackle by Mark Barron),2.260,2.250
1,2:53,2,6,STL 46,0,7,Eddie Lacy right guard for 3 yards (tackle by Mark Barron),2.250,1.950
1,2:25,3,3,STL 43,0,7,Aaron Rodgers pass complete short left to Richard Rodgers for 2 yards (tackle by T.J. McDonald),1.950,0.530
1,1:44,4,1,STL 41,0,7,Eddie Lacy right tackle for no gain (tackle by T.J. McDonald),0.530,-1.660
1,1:36,1,10,STL 41,0,7,"Penalty on Nick Foles: Delay of Game, 5 yards (no play)",1.660,1.330
1,1:36,1,15,STL 36,0,7,Tre Mason right end for 6 yards (tackle by Chris Banjo),1.330,1.260
1,1:06,2,9,STL 42,0,7,Nick Foles pass incomplete short right intended for Jared Cook,1.260,0.560
1,1:02,3,9,STL 42,0,13,"Nick Foles pass incomplete short left intended for Jared Cook is intercepted by Quinten Rollins at STL-45 and returned for 45 yards, touchdown",0.560,-7.000
1,0:53,,,STL 42,0,14,Mason Crosby kicks extra point good,0.000,0.000
1,0:53,,,GNB 35,0,14,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,0:53,1,10,STL 20,0,14,Todd Gurley left end for 2 yards (tackle by B.J. Raji and Letroy Guion),0.280,0.000
1,0:07,2,8,STL 22,0,14,"Penalty on Nick Foles: Delay of Game, 5 yards (no play)",0.000,-0.790
Quarter,Time,Down,ToGo,Location,STL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,STL 17,0,14,Nick Foles pass complete short right to Tavon Austin for 1 yard (tackle by Casey Hayward),-0.790,-1.330
2,14:31,3,12,STL 18,0,14,Nick Foles pass incomplete deep left intended for Tavon Austin (defended by Sam Shields),-1.330,-2.240
2,14:24,4,12,STL 18,0,14,"Johnny Hekker punts 42 yards, fair catch by Micah Hyde",-2.240,-1.600
2,14:17,1,10,GNB 40,0,14,James Starks right guard for 2 yards (tackle by Mark Barron),1.600,1.320
2,13:45,2,8,GNB 42,0,14,Aaron Rodgers left end for 3 yards (tackle by Lamarcus Joyner),1.320,1.030
2,13:05,3,5,GNB 45,0,14,Aaron Rodgers middle for 2 yards (tackle by James Laurinaitis). Penalty on T.J. Lang: Offensive Holding (Declined),1.030,-0.260
2,12:32,4,3,GNB 47,0,14,"Tim Masthay punts 53 yards, touchback",-0.260,-0.280
,,,,,,,"STL challenged the touchback ruling, and the original play was overturned.",,
2,12:22,1,10,STL 20,0,14,Todd Gurley middle for 11 yards (tackle by Ha Ha Clinton-Dix and Nate Palmer),0.280,1.000
2,11:46,1,10,STL 31,0,14,Tavon Austin left end for 7 yards (tackle by Ha Ha Clinton-Dix),1.000,1.410
2,11:18,2,3,STL 38,0,14,Todd Gurley left tackle for 5 yards (tackle by B.J. Raji),1.410,1.800
2,10:35,1,10,STL 43,0,14,Todd Gurley right end for 2 yards (tackle by Nate Palmer),1.800,1.520
