Unnamed: 0,STL,GNB
First Downs,17,14
Rush-Yds-TDs,36-191-0,27-86-0
Cmp-Att-Yd-TD-INT,12-31-161-1-4,19-30-241-2-2
Sacked-Yards,3-18,2-5
Net Pass Yards,143,236
Total Yards,334,322
Fumbles-Lost,1-0,1-1
Turnovers,4,3
Penalties-Yards,8-40,7-67
Third Down Conv.,5-18,4-13
Fourth Down Conv.,1-1,0-1
Time of Possession,33:43,26:17
