Unnamed: 0,DET,SFO
First Downs,15,24
Rush-Yds-TDs,26-82-0,27-148-1
Cmp-Att-Yd-TD-INT,19-32-230-1-1,20-31-226-2-0
Sacked-Yards,2-16,3-25
Net Pass Yards,214,201
Total Yards,296,349
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,8-67,5-62
Third Down Conv.,6-15,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:26,29:34
