Quarter,Time,Down,ToGo,Location,ATL,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,SEA 20,0,0,Marshawn Lynch right tackle for 5 yards (tackle by Brent Grimes and Curtis Lofton),0.280,0.410
1,14:32,2,5,SEA 25,0,0,"Marshawn Lynch left tackle for 1 yard (tackle by Jonathan Babineaux). Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",0.410,-1.070
1,14:12,2,15,SEA 15,0,0,Matt Hasselbeck pass complete short left to Mike Williams for 10 yards (tackle by Sean Weatherspoon),-1.070,-0.300
1,13:30,3,5,SEA 25,0,0,Matt Hasselbeck pass complete short right to Marshawn Lynch for 17 yards (tackle by Sean Weatherspoon),-0.300,1.730
1,12:47,1,10,SEA 42,0,0,Matt Hasselbeck pass complete short left to Cameron Morrah for 5 yards (tackle by Thomas DeCoud),1.730,1.860
1,12:09,2,5,SEA 47,0,0,Marshawn Lynch right tackle for 10 yards (tackle by Thomas DeCoud),1.860,2.720
1,11:26,1,10,ATL 43,0,0,Matt Hasselbeck pass complete short right to Michael Robinson for 3 yards (tackle by John Abraham),2.720,2.580
1,10:52,2,7,ATL 40,0,0,Matt Hasselbeck pass complete short left to Cameron Morrah for 9 yards (tackle by Thomas DeCoud),2.580,3.510
1,10:17,1,10,ATL 31,0,0,Justin Forsett middle for 9 yards (tackle by William Moore and Curtis Lofton),3.510,4.180
1,9:33,2,1,ATL 22,0,0,Michael Robinson middle for 2 yards (tackle by Stephen Nicholas and Mike Peterson),4.180,4.240
1,8:54,1,10,ATL 20,0,0,Matt Hasselbeck middle for 5 yards (tackle by Mike Peterson),4.240,4.450
1,8:17,2,5,ATL 15,0,0,Marshawn Lynch right guard for 14 yards (tackle by Brent Grimes),4.450,6.970
1,7:32,1,1,ATL 1,0,6,"Marshawn Lynch right tackle for 1 yard, touchdown",6.970,7.000
1,,,,ATL 2,0,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,SEA 30,0,7,"Olindo Mare kicks off 67 yards, returned by Eric Weems for 46 yards (tackle by Dexter Davis)",0.000,2.190
1,7:21,1,10,ATL 49,0,7,Matt Ryan pass complete short right to Justin Peelle for 10 yards (tackle by Lofa Tatupu and Marcus Trufant),2.190,2.850
1,6:42,1,10,SEA 41,0,7,Michael Turner right tackle for 3 yards (tackle by Lawyer Milloy),2.850,2.710
1,6:00,2,7,SEA 38,0,7,Michael Turner right end for 1 yard (tackle by Aaron Curry and David Hawthorne),2.710,2.150
1,5:13,3,6,SEA 37,0,7,Matt Ryan pass complete short left to Harry Douglas for 10 yards (tackle by Kelly Jennings),2.150,3.780
1,4:34,1,10,SEA 27,0,7,Michael Turner left guard for 3 yards (tackle by Craig Terrill and Lofa Tatupu),3.780,3.640
1,3:50,2,7,SEA 24,0,7,Michael Turner right end for 2 yards (tackle by Junior Siavii and Colin Cole),3.640,3.200
1,3:07,3,5,SEA 22,0,7,Matt Ryan left guard for 4 yards (tackle by Lofa Tatupu),3.200,2.400
1,2:44,4,1,SEA 18,0,7,Matt Ryan middle for 1 yard (tackle by Lofa Tatupu),2.400,4.440
,,,,,,,"SEA challenged the first down ruling, and the play was upheld.",,
1,2:28,1,10,SEA 17,0,7,Matt Ryan pass incomplete deep right intended for Ovie Mughelli,4.440,3.850
1,2:21,2,10,SEA 17,0,7,Michael Turner middle for 4 yards (tackle by Earl Thomas),3.850,3.680
1,1:37,3,6,SEA 13,0,7,Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Marcus Trufant),3.680,2.990
1,0:53,4,1,SEA 8,0,7,Michael Turner left tackle for 1 yard (tackle by Junior Siavii and Earl Thomas),2.990,5.600
1,0:27,1,7,SEA 7,0,7,Michael Turner left tackle for no gain (tackle by David Hawthorne and Colin Cole),5.600,4.760
Quarter,Time,Down,ToGo,Location,ATL,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,SEA 7,0,7,Michael Turner middle for 4 yards (tackle by David Hawthorne),4.760,4.720
2,14:20,3,3,SEA 3,6,7,"Matt Ryan pass complete short left to Jason Snelling for 3 yards, touchdown",4.720,7.000
2,,,,SEA 2,7,7,Matt Bryant kicks extra point good,0.000,0.000
2,,,,ATL 30,7,7,"Michael Koenen kicks off 67 yards, returned by Leon Washington for 17 yards (tackle by Chris Owens)",0.000,0.280
2,14:09,1,10,SEA 20,7,7,Justin Forsett left tackle for no gain (tackle by Sean Weatherspoon and Curtis Lofton),0.280,-0.270
2,13:31,2,10,SEA 20,7,7,Matt Hasselbeck pass complete short left to Mike Williams for 5 yards (tackle by Sean Weatherspoon),-0.270,-0.300
2,12:54,3,5,SEA 25,7,7,Matt Hasselbeck pass complete short left to Justin Forsett for 3 yards (tackle by Curtis Lofton),-0.300,-1.500
2,12:17,4,2,SEA 28,7,7,"Jon Ryan punts 44 yards, returned by Eric Weems for 12 yards (tackle by Kam Chancellor)",-1.500,-1.600
2,12:07,1,10,ATL 40,7,7,Matt Ryan pass complete short right to Tony Gonzalez for 9 yards (tackle by Marcus Trufant),1.600,2.270
2,11:30,2,1,ATL 49,7,7,Matt Ryan pass incomplete short right intended for Tony Gonzalez,2.270,1.550
2,11:23,3,1,ATL 49,7,7,Michael Turner left end for 3 yards (tackle by Earl Thomas),1.550,2.390
2,10:42,1,10,SEA 48,7,7,Michael Turner left end for -2 yards (tackle by Aaron Curry and Chris Clemons),2.390,1.580
2,10:02,2,12,,7,7,Matt Ryan pass complete short right to Roddy White for 15 yards,1.580,3.250
2,9:34,1,10,SEA 35,7,7,Matt Ryan pass incomplete short right intended for Jason Snelling,3.250,2.700
2,9:29,2,10,SEA 35,7,7,"Jason Snelling middle for 4 yards (tackle by David Hawthorne). Jason Snelling fumbles (forced by David Hawthorne), recovered by Brian Finneran at SEA-31",2.700,2.540
2,8:48,3,6,SEA 31,7,7,"Matt Ryan pass complete short middle to Jason Snelling for 3 yards (tackle by Will Herring). Jason Snelling fumbles (forced by Will Herring), recovered by Roddy White at SEA-24",2.540,3.970
2,8:11,1,10,SEA 24,7,7,Michael Turner middle for 3 yards (tackle by Kentwan Balmer),3.970,3.840
2,7:26,2,7,SEA 21,7,7,Michael Turner left tackle for 8 yards (tackle by Earl Thomas),3.840,4.710
2,6:48,1,10,SEA 13,7,7,"Michael Turner left tackle for 8 yards (tackle by Aaron Curry). Penalty on Justin Peelle: Offensive Holding, 10 yards (no play)",4.710,4.040
2,6:21,1,20,SEA 23,7,7,Matt Ryan pass complete short left to Tony Gonzalez for 2 yards (tackle by Aaron Curry),4.040,3.080
