Unnamed: 0,ATL,SEA
First Downs,21,15
Rush-Yds-TDs,37-98-0,21-91-2
Cmp-Att-Yd-TD-INT,20-35-174-3-1,18-33-154-0-2
Sacked-Yards,1-6,2-11
Net Pass Yards,168,143
Total Yards,266,234
Fumbles-Lost,2-0,2-1
Turnovers,1,3
Penalties-Yards,4-35,10-76
Third Down Conv.,9-19,4-12
Fourth Down Conv.,2-2,1-2
Time of Possession,35:25,24:35
