Quarter,Time,Tm,Detail,ATL,SEA
1.0,7:28,Seahawks,Marshawn Lynch 1 yard rush (Olindo Mare kick),0,7
2.0,14:14,Falcons,Jason Snelling 3 yard pass from Matt Ryan (Matt Bryant kick),7,7
,4:51,Falcons,Matt Bryant 27 yard field goal,10,7
,2:05,Seahawks,Olindo Mare 38 yard field goal,10,10
,0:19,Falcons,Michael Jenkins 24 yard pass from Matt Ryan (Matt Bryant kick),17,10
3.0,10:12,Falcons,Jonathan Babineaux defensive fumble recovery in end zone (Matt Bryant kick),24,10
,4:20,Falcons,Matt Bryant 25 yard field goal,27,10
,0:52,Falcons,Roddy White 5 yard pass from Matt Ryan (Matt Bryant kick),34,10
4.0,8:29,Seahawks,Charlie Whitehurst 1 yard rush (Ben Obomanu pass from Charlie Whitehurst),34,18
