Unnamed: 0,CIN,BUF
First Downs,30,19
Rush-Yds-TDs,34-172-1,19-64-1
Cmp-Att-Yd-TD-INT,23-36-242-2-0,25-42-264-0-1
Sacked-Yards,1-2,1-3
Net Pass Yards,240,261
Total Yards,412,325
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,2-9,8-60
Third Down Conv.,6-10,5-12
Fourth Down Conv.,0-0,1-2
Time of Possession,33:54,26:06
