Quarter,Time,Down,ToGo,Location,CIN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 65 yards, returned by Trayveon Williams for 21 yards (tackle by Taiwan Jones and Cameron Lewis)",0.000,0.340
1,14:55,1,10,CIN 21,0,0,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Tremaine Edmunds),0.340,0.610
1,14:18,2,4,CIN 27,0,0,Joe Mixon right guard for 5 yards (tackle by Tremaine Edmunds),0.610,1.070
1,13:45,1,10,CIN 32,0,0,Joe Burrow pass complete deep left to Tyler Boyd for 23 yards (tackle by Taron Johnson),1.070,2.590
1,13:15,1,10,BUF 45,0,0,Joe Mixon right tackle for 10 yards (tackle by Jordan Poyer),2.590,3.250
1,12:31,1,10,BUF 35,0,0,Joe Burrow pass complete short right to Hayden Hurst for 7 yards (tackle by Gregory Rousseau),3.250,3.650
1,11:48,2,3,BUF 28,6,0,"Joe Burrow pass complete deep middle to Ja'Marr Chase for 28 yards, touchdown",3.650,7.000
1,11:40,,,BUF 15,7,0,Evan McPherson kicks extra point good,0.000,0.000
1,11:40,,,CIN 35,7,0,"Evan McPherson kicks off 63 yards, returned by Nyheim Hines for 22 yards (tackle by Clay Johnston)",0.000,0.540
1,11:34,1,10,BUF 24,7,0,Josh Allen pass complete short left to Isaiah McKenzie for 2 yards (tackle by Cam Taylor-Britt),0.540,0.270
1,10:59,2,8,BUF 26,7,0,Josh Allen pass complete short left to Stefon Diggs for 4 yards (tackle by Cam Taylor-Britt),0.270,0.100
1,10:17,3,4,BUF 30,7,0,Josh Allen pass incomplete deep left intended for Stefon Diggs,0.100,-1.370
1,10:12,4,4,BUF 30,7,0,"Sam Martin punts 53 yards, returned by Trent Taylor for 11 yards (tackle by Tyler Matakevich)",-1.370,-0.810
1,10:02,1,10,CIN 28,7,0,Joe Mixon up the middle for 5 yards (tackle by Tremaine Edmunds),0.810,0.940
1,9:24,2,5,CIN 33,7,0,Joe Mixon left guard for 16 yards (tackle by Jordan Poyer),0.940,2.190
1,8:47,1,10,CIN 49,7,0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Kaiir Elam),2.190,2.460
1,8:09,2,4,BUF 45,7,0,Samaje Perine up the middle for 4 yards (tackle by A.J. Epenesa),2.460,2.850
1,7:29,1,10,BUF 41,7,0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Tre'Davious White and Matt Milano),2.850,3.580
1,6:48,1,10,BUF 30,7,0,Ja'Marr Chase right end for 3 yards (tackle by Tremaine Edmunds),3.580,3.440
1,6:11,2,7,BUF 27,7,0,Joe Burrow pass complete short middle to Samaje Perine for 4 yards (tackle by Matt Milano and Shaq Lawson),3.440,3.270
1,5:25,3,3,BUF 23,7,0,"Joe Burrow sacked by Boogie Basham for no gain. Penalty on Boogie Basham: Defensive Offside, 5 yards (accepted) (no play)",3.270,4.370
1,5:01,1,10,BUF 18,7,0,Joe Burrow pass complete short left to Joe Mixon for 5 yards (tackle by Tremaine Edmunds),4.370,4.610
1,4:31,2,5,BUF 13,7,0,Joe Mixon right end for -2 yards (tackle by Matt Milano),4.610,3.460
1,3:51,3,7,BUF 15,13,0,"Joe Burrow pass complete short right to Hayden Hurst for 15 yards, touchdown",3.460,7.000
1,3:47,,,BUF 15,14,0,Evan McPherson kicks extra point good,0.000,0.000
1,3:47,,,CIN 35,14,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,3:47,1,10,BUF 25,14,0,Devin Singletary left guard for 3 yards (tackle by Germaine Pratt and Mike Hilton),0.610,0.470
1,3:08,2,7,BUF 28,14,0,James Cook right tackle for 2 yards (tackle by Jessie Bates),0.470,0.040
1,2:27,3,5,BUF 30,14,0,Josh Allen pass incomplete short right intended for Devin Singletary,0.040,-1.370
1,2:22,4,5,BUF 30,14,0,"Sam Martin punts 51 yards, returned by Trent Taylor for 14 yards (tackle by Tyler Matakevich)",-1.370,-1.140
1,2:11,1,10,CIN 33,14,0,Joe Burrow pass incomplete short middle intended for Mitchell Wilcox (defended by Tremaine Edmunds),1.140,0.590
1,2:06,2,10,CIN 33,14,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Dane Jackson),0.590,-0.100
1,2:02,3,10,CIN 33,14,0,"Joe Burrow pass complete short right to Trenton Irwin for 13 yards (tackle by Tremaine Edmunds). Penalty on Gregory Rousseau: Defensive Offside, 5 yards (declined)",-0.100,1.990
1,1:42,1,10,CIN 46,14,0,Joe Burrow pass incomplete deep left intended for Tyler Boyd (defended by Taron Johnson),1.990,1.450
1,1:37,2,10,CIN 46,14,0,Joe Mixon right guard for 3 yards (tackle by Tremaine Edmunds and Taron Johnson),1.450,1.160
1,0:56,3,7,CIN 49,14,0,Joe Burrow sacked by Matt Milano for -2 yards,1.160,-0.260
1,0:13,4,9,CIN 47,14,0,Drue Chrisman punts 28 yards out of bounds,-0.260,-0.610
1,0:06,1,10,BUF 25,14,0,Josh Allen sacked by Vonn Bell for -3 yards,0.610,-0.340
Quarter,Time,Down,ToGo,Location,CIN,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,BUF 22,14,0,Josh Allen pass complete to Stefon Diggs for 16 yards (tackle by Jessie Bates),-0.340,1.470
2,14:29,1,10,BUF 38,14,0,Josh Allen scrambles up the middle for 3 yards (tackle by Josh Tupou and Mike Hilton),1.470,1.330
2,13:57,2,7,BUF 41,14,0,Josh Allen pass complete to Gabriel Davis for 9 yards (tackle by Eli Apple),1.330,2.260
2,13:26,1,10,BUF 50,14,0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Cam Taylor-Britt),2.260,2.660
2,12:57,2,3,CIN 43,14,0,Josh Allen pass complete short left to Cole Beasley for 11 yards (tackle by Mike Hilton),2.660,3.450
2,12:24,1,10,CIN 32,14,0,Josh Allen pass incomplete short right,3.450,2.900
2,12:18,2,10,CIN 32,14,0,James Cook left end for 8 yards (tackle by Eli Apple),2.900,3.270
2,11:51,3,2,CIN 24,14,0,James Cook up the middle for 1 yard (tackle by D.J. Reader),3.270,2.080
2,11:12,4,1,CIN 23,14,0,Josh Allen left guard for 2 yards (tackle by D.J. Reader and Logan Wilson),2.080,4.170
2,10:32,1,10,CIN 21,14,0,"Josh Allen scrambles right tackle for no gain (tackle by Mike Hilton). Penalty on Ryan Bates: Offensive Holding, 10 yards (accepted) (no play)",4.170,3.510
2,10:10,1,20,CIN 31,14,0,James Cook up the middle for 4 yards (tackle by Sam Hubbard),3.510,2.820
2,9:32,2,16,CIN 27,14,0,Josh Allen pass complete deep right to Khalil Shakir for 23 yards (tackle by Jessie Bates),2.820,6.280
2,8:52,1,4,CIN 4,14,0,Devin Singletary up the middle for no gain (tackle by Logan Wilson),6.280,5.340
2,8:12,2,4,CIN 4,14,0,Josh Allen up the middle for 3 yards (tackle by Josh Tupou and Zachary Carter),5.340,5.170
2,7:29,3,1,CIN 1,14,6,"Josh Allen left guard for 1 yard, touchdown",5.170,7.000
2,7:25,,,CIN 15,14,7,Tyler Bass kicks extra point good,0.000,0.000
2,7:25,,,BUF 35,14,7,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,7:25,1,10,CIN 25,14,7,Joe Burrow pass complete short left to Samaje Perine for 4 yards (tackle by Matt Milano and Tremaine Edmunds),0.610,0.600
2,6:48,2,6,CIN 29,14,7,Joe Burrow pass complete short right to Hayden Hurst for 6 yards (tackle by Taron Johnson),0.600,1.270
2,6:07,1,10,CIN 35,14,7,Joe Mixon left guard for 11 yards (tackle by Dean Marlowe),1.270,1.990
2,5:29,1,10,CIN 46,14,7,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,1.990,1.450
2,5:24,2,10,CIN 46,14,7,Joe Burrow pass complete short middle to Hayden Hurst for 18 yards (tackle by Dean Marlowe),1.450,3.180
2,4:47,1,10,BUF 36,14,7,Joe Burrow pass complete short right to Mitchell Wilcox for 9 yards (tackle by Taron Johnson and Matt Milano),3.180,3.850
2,4:02,2,1,BUF 27,14,7,Samaje Perine up the middle for 7 yards (tackle by Matt Milano),3.850,4.240
2,3:25,1,10,BUF 20,14,7,Joe Burrow pass incomplete short right,4.240,3.690
2,3:22,2,10,BUF 20,14,7,Joe Mixon left tackle for 6 yards (tackle by Dane Jackson),3.690,3.890
2,2:47,,,,,,Timeout #1 by Cincinnati Bengals,,
2,2:47,3,4,BUF 14,14,7,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Tremaine Edmunds),3.890,5.830
2,2:08,1,6,BUF 6,14,7,Joe Mixon left tackle for 1 yard (tackle by Tre'Davious White),5.830,5.150
2,2:00,2,5,BUF 5,14,7,Joe Burrow pass incomplete short right,5.150,4.260
2,1:55,3,5,BUF 5,14,7,"Penalty on Jackson Carman: False Start, 5 yards (accepted) (no play)",4.260,3.130
2,1:55,3,10,BUF 10,14,7,"Joe Burrow pass complete short left to Ja'Marr Chase for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Joe Burrow pass incomplete short left intended for Ja'Marr Chase (defended by Matt Milano)",3.130,2.760
2,1:52,4,10,BUF 10,17,7,Evan McPherson 28 yard field goal good,2.760,3.000
2,1:49,,,CIN 35,17,7,"Evan McPherson kicks off 67 yards, returned by Nyheim Hines for 22 yards (tackle by Clay Johnston and Daxton Hill)",0.000,0.280
2,1:43,1,10,BUF 20,17,7,Josh Allen pass complete short middle to Dawson Knox for 5 yards (tackle by Mike Hilton),0.280,0.410
2,1:19,2,5,BUF 25,17,7,Josh Allen pass incomplete short middle intended for Devin Singletary (defended by B.J. Hill),0.410,-0.300
2,1:16,3,5,BUF 25,17,7,Josh Allen pass complete short left to Dawson Knox for 9 yards (tackle by Vonn Bell),-0.300,1.200
2,1:11,1,10,BUF 34,17,7,Josh Allen pass complete deep left to Gabriel Davis for 25 yards (tackle by Vonn Bell),1.200,2.850
2,1:05,1,10,CIN 41,17,7,Josh Allen pass incomplete short middle intended for Quintin Morris (defended by Germaine Pratt),2.850,2.310
2,1:01,2,10,CIN 41,17,7,Josh Allen pass incomplete intended for Devin Singletary,2.310,1.620
2,0:55,3,10,CIN 41,17,7,"Josh Allen pass incomplete deep right intended for Stefon Diggs. Penalty on Dion Dawkins: Offensive Holding, 10 yards (declined)",1.620,0.530
