Quarter,Time,Tm,Detail,CIN,BUF
1.0,11:40,Bengals,Ja'Marr Chase 28 yard pass from Joe Burrow (Evan McPherson kick),7,0
,3:47,Bengals,Hayden Hurst 15 yard pass from Joe Burrow (Evan McPherson kick),14,0
2.0,7:25,Bills,Josh Allen 1 yard rush (Tyler Bass kick),14,7
,1:49,Bengals,Evan McPherson 28 yard field goal,17,7
3.0,7:42,Bills,Tyler Bass 25 yard field goal,17,10
,1:17,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),24,10
4.0,11:22,Bengals,Evan McPherson 20 yard field goal,27,10
