Quarter,Time,Tm,Detail,TEN,IND
1.0,7:06,Colts,Trent Richardson 1 yard rush (Adam Vinatieri kick),0,7
,0:52,Colts,Dwayne Allen 7 yard pass from Andrew Luck (Adam Vinatieri kick),0,14
2.0,10:25,Colts,Adam Vinatieri 31 yard field goal,0,17
,6:24,Titans,Ryan Succop 36 yard field goal,3,17
,1:53,Colts,Adam Vinatieri 30 yard field goal,3,20
,0:13,Titans,Delanie Walker 7 yard pass from Charlie Whitehurst (Ryan Succop kick),10,20
3.0,8:15,Colts,Reggie Wayne 28 yard pass from Andrew Luck (Adam Vinatieri kick),10,27
,4:02,Colts,Coby Fleener 2 yard pass from Andrew Luck (Adam Vinatieri kick),10,34
,0:35,Titans,Bishop Sankey 2 yard rush (Ryan Succop kick),17,34
4.0,9:56,Colts,Ahmad Bradshaw 15 yard pass from Andrew Luck (Adam Vinatieri kick),17,41
