Unnamed: 0,TEN,IND
First Downs,16,31
Rush-Yds-TDs,16-85-1,41-105-1
Cmp-Att-Yd-TD-INT,14-28-194-1-2,29-41-393-4-1
Sacked-Yards,3-18,0-0
Net Pass Yards,176,393
Total Yards,261,498
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,6-68,11-88
Third Down Conv.,1-9,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,17:39,42:21
