#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:57,TEN 9,4,2:17,28,Fumble
2,1,0:52,TEN 20,4,1:09,29,Interception
3,2,10:25,TEN 20,3,1:21,3,Punt
4,2,8:04,TEN 31,6,1:40,51,Field Goal
5,2,1:53,TEN 20,3,0:34,13,Punt
6,2,0:45,IND 25,3,0:32,25,Touchdown
7,3,15:00,TEN 20,6,2:41,36,Punt
8,3,8:15,TEN 20,3,2:09,-5,Punt
9,3,4:02,TEN 20,8,3:27,80,Touchdown
10,4,9:56,TEN 20,3,0:46,7,Punt
11,4,7:26,TEN 11,3,0:48,7,Punt
12,4,1:52,TEN 10,2,0:15,5,Interception
