Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Shaun Suisham kicks off 67 yards, returned by Eddie Royal for 30 yards (tackle by Kareem Moore)",0.000,1.140
1,14:53,1,10,DEN 33,0,0,Knowshon Moreno right end for 28 yards (tackle by Carlos Rogers and Andre Carter),1.140,2.980
1,14:10,1,10,WAS 39,0,0,Knowshon Moreno right end for -1 yards (tackle by Andre Carter and Cornelius Griffin),2.980,2.300
1,13:37,2,11,WAS 40,0,0,Kyle Orton pass complete short right to Knowshon Moreno for no gain,2.300,1.620
1,12:56,3,11,WAS 40,6,0,"Kyle Orton pass complete deep left to Brandon Marshall for 40 yards, touchdown",1.620,7.000
1,,,,WAS 2,7,0,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Matt Prater kicks off 70 yards, returned by Rock Cartwright for 22 yards (tackle by Mario Haggan)",0.000,0.410
1,12:42,1,10,WAS 22,7,0,Ladell Betts right end for 2 yards (tackle by Ronald Fields and Kenny Peterson),0.410,0.140
1,12:05,2,8,WAS 24,7,0,Jason Campbell pass complete short right to Fred Davis for 7 yards (tackle by D.J. Williams),0.140,0.370
1,11:21,3,1,WAS 31,7,0,Rock Cartwright middle for 2 yards (tackle by Brian Dawkins),0.370,1.140
1,10:45,1,10,WAS 33,7,0,Jason Campbell pass incomplete short right intended for Devin Thomas (defended by Robert Ayers),1.140,0.590
1,10:37,2,10,WAS 33,7,0,Ladell Betts middle for 5 yards (tackle by D.J. Williams),0.590,0.560
1,10:00,3,5,WAS 38,7,0,Jason Campbell pass complete short left to Ladell Betts for 6 yards,0.560,1.860
1,9:33,1,10,WAS 44,7,0,Rock Cartwright left end for 17 yards (tackle by Brian Dawkins),1.860,2.980
1,8:55,1,10,DEN 39,7,0,Jason Campbell pass complete short left to Antwaan Randle El for 10 yards (tackle by Brian Dawkins),2.980,3.640
1,8:11,1,10,DEN 29,7,0,Jason Campbell pass complete short right to Fred Davis for 24 yards (tackle by Andra Davis),3.640,6.060
1,7:21,1,5,DEN 5,7,0,Jason Campbell pass incomplete short left intended for Devin Thomas,6.060,5.150
1,7:17,2,5,DEN 5,7,0,Ladell Betts right guard for 3 yards (tackle by D.J. Williams and Renaldo Hill),5.150,4.950
1,6:37,3,2,DEN 2,7,6,"Jason Campbell pass complete short middle to Todd Yoder for 2 yards, touchdown",4.950,7.000
1,,,,DEN 2,7,7,Shaun Suisham kicks extra point good,0.000,0.000
1,,,,WAS 30,7,7,Shaun Suisham kicks off 57 yards,0.000,1.600
1,6:32,1,10,DEN 40,7,7,Kyle Orton pass complete short right to Tony Scheffler for 9 yards (tackle by DeAngelo Hall),1.600,2.270
1,5:55,2,1,DEN 49,7,7,Correll Buckhalter right end for 3 yards (tackle by Albert Haynesworth),2.270,2.390
1,5:17,1,10,WAS 48,7,7,Brandon Marshall left end for 9 yards (tackle by LaRon Landry),2.390,3.060
1,4:46,2,1,WAS 39,7,7,"Correll Buckhalter right end for 8 yards (tackle by Lorenzo Alexander). Correll Buckhalter fumbles (forced by Lorenzo Alexander), recovered by Reed Doughty at WAS-31 (tackle by Correll Buckhalter)",3.060,-1.000
1,4:36,1,10,WAS 31,7,7,Ladell Betts right tackle for 1 yard (tackle by Ronald Fields),1.000,0.600
1,3:59,2,9,WAS 32,7,7,Jason Campbell pass incomplete short right intended for Ladell Betts,0.600,-0.100
1,3:56,3,9,WAS 32,7,7,Jason Campbell pass incomplete short middle intended for Santana Moss,-0.100,-1.240
1,3:49,4,9,WAS 32,7,7,"Hunter Smith punts 43 yards, fair catch by Eddie Royal",-1.240,-0.610
1,3:46,1,10,DEN 25,13,7,"Kyle Orton pass complete deep middle to Brandon Marshall for 75 yards, touchdown",0.610,7.000
1,,,,WAS 2,14,7,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,14,7,"Matt Prater kicks off 71 yards, returned by Rock Cartwright for 25 yards (tackle by Spencer Larsen). Penalty on Chris Wilson: Offensive Holding, 9 yards",0.000,-0.380
1,3:20,1,10,WAS 9,14,7,Ladell Betts right end for 6 yards (tackle by Renaldo Hill),-0.380,-0.280
1,2:46,2,4,WAS 15,14,7,Ladell Betts right end for no gain (tackle by Marcus Thomas),-0.280,-0.720
1,2:06,3,4,WAS 15,14,7,Jason Campbell pass complete deep right to Antwaan Randle El for 26 yards (tackle by Champ Bailey),-0.720,1.660
1,1:39,1,10,WAS 41,14,7,Jason Campbell pass incomplete deep left intended for Santana Moss,1.660,1.120
1,1:32,2,10,WAS 41,14,7,Ladell Betts left guard for 6 yards (tackle by Le Kevin Smith and Robert Ayers),1.120,1.220
1,0:50,3,4,WAS 47,14,7,Jason Campbell pass incomplete short middle intended for Fred Davis,1.220,-0.260
1,0:45,4,4,WAS 47,14,7,"Hunter Smith punts 38 yards, fair catch by Eddie Royal",-0.260,0.220
1,0:38,1,10,DEN 15,14,7,Knowshon Moreno left guard for 5 yards (tackle by Reed Doughty and London Fletcher),-0.220,0.080
Quarter,Time,Down,ToGo,Location,DEN,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,DEN 20,14,7,Kyle Orton pass complete short right to Tony Scheffler for 7 yards (tackle by Reed Doughty),0.080,0.740
2,14:25,1,10,DEN 27,14,7,Knowshon Moreno right end for -1 yards (tackle by Brian Orakpo and Cornelius Griffin),0.740,0.060
2,13:50,2,11,DEN 26,14,7,"Kyle Orton pass complete short left to Eddie Royal for 13 yards (tackle by London Fletcher and Andre Carter). Penalty on Tony Scheffler: Offensive Pass Interfere, 10 yards, Penalty on Chris Kuper: Ineligible Downfield Pas (Declined) (no play)",0.060,-1.440
2,13:21,2,21,DEN 16,14,7,Kyle Orton pass complete short left to Brandon Marshall for 5 yards (tackle by Rocky McIntosh),-1.440,-1.290
2,12:40,,,,14,7,Timeout #1 by Washington Redskins,0.000,-1.290
2,12:38,3,16,DEN 21,14,7,Kyle Orton pass incomplete deep right intended for Eddie Royal,-1.290,-1.960
2,12:31,4,16,DEN 21,14,7,"Mitch Berger punts 45 yards, returned by Santana Moss for no gain",-1.960,-1.200
2,12:23,1,10,WAS 34,14,7,Jason Campbell pass incomplete short right intended for Antwaan Randle El (defended by Elvis Dumervil),1.200,0.660
2,12:19,2,10,WAS 34,14,7,Ladell Betts left end for no gain (tackle by Kenny Peterson and Andra Davis),0.660,-0.030
2,11:36,3,10,WAS 34,14,7,Jason Campbell pass complete short left to Rock Cartwright for 8 yards (tackle by Renaldo Hill and D.J. Williams),-0.030,-0.590
2,11:06,4,2,WAS 42,14,7,Hunter Smith punts 27 yards,-0.590,-1.000
2,10:56,1,10,DEN 31,14,7,Kyle Orton pass incomplete deep right intended for Brandon Marshall (defended by DeAngelo Hall),1.000,0.460
2,10:48,2,10,DEN 31,14,7,Knowshon Moreno right guard for 3 yards (tackle by London Fletcher),0.460,0.170
2,10:13,3,7,DEN 34,14,7,Knowshon Moreno middle for -3 yards (tackle by Brian Orakpo),0.170,-1.310
2,9:42,4,10,DEN 31,14,7,"Mitch Berger punts 51 yards, returned by Santana Moss for 8 yards (tackle by Robert Ayers). Penalty on Robert Ayers: Face Mask (15 Yards), 15 yards",-1.310,-1.660
2,9:30,1,10,WAS 41,14,7,Quinton Ganther middle for 3 yards (tackle by Vonnie Holliday and Andra Davis),1.660,1.530
2,8:51,2,7,WAS 44,14,7,Jason Campbell right end for 13 yards (tackle by Wesley Woodyard),1.530,2.720
2,8:06,1,10,DEN 43,14,7,Jason Campbell pass complete short middle to Quinton Ganther for 18 yards (tackle by Brian Dawkins),2.720,3.910
2,7:29,1,10,DEN 25,14,7,Quinton Ganther right end for no gain (tackle by Elvis Dumervil),3.910,3.360
2,6:49,2,10,DEN 25,14,7,"Jason Campbell pass incomplete. Penalty on Jason Campbell: Intentional Grounding, 10 yards",3.360,1.350
2,6:42,3,20,DEN 35,14,7,Jason Campbell pass incomplete short left intended for Fred Davis,1.350,0.970
2,6:39,,,,14,7,Timeout #2 by Washington Redskins,0.000,0.970
2,6:39,4,20,DEN 35,14,13,"Hunter Smith pass complete deep left to Mike Sellers for 35 yards, touchdown",0.970,7.000
2,,,,DEN 2,14,14,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,WAS 30,14,14,"Shaun Suisham kicks off 55 yards, returned by LaMont Jordan for 6 yards (tackle by Lorenzo Alexander). Penalty on Jarvis Moss: Illegal Block Above the , 10 yards",0.000,-0.370
2,6:26,1,10,DEN 11,14,14,Knowshon Moreno right end for 7 yards (tackle by Rocky McIntosh),-0.370,0.000
2,5:53,2,3,DEN 18,14,14,Knowshon Moreno right end for no gain (tackle by Andre Carter),0.000,-0.600
2,5:15,3,3,DEN 18,14,14,Kyle Orton pass complete short middle to Brandon Stokley for 15 yards (tackle by Reed Doughty and Justin Tryon),-0.600,1.140
2,4:32,1,10,DEN 33,14,14,Knowshon Moreno middle for 10 yards (tackle by Reed Doughty and Rocky McIntosh),1.140,1.800
2,4:04,1,10,DEN 43,14,14,Knowshon Moreno left end for 2 yards (tackle by Phillip Daniels and Kedric Golston),1.800,1.520
2,3:30,2,8,DEN 45,14,14,Kyle Orton pass complete short left to Eddie Royal for 8 yards (tackle by Kareem Moore),1.520,2.460
2,2:50,1,10,WAS 47,14,14,Kyle Orton pass incomplete short right intended for Daniel Graham,2.460,1.910
2,2:41,2,10,WAS 47,14,14,Kyle Orton pass complete short right to Eddie Royal for 13 yards (tackle by DeAngelo Hall),1.910,3.310
2,2:08,1,10,WAS 34,14,14,Knowshon Moreno left end for 1 yard (tackle by Cornelius Griffin and Albert Haynesworth),3.310,2.910
2,1:59,2,9,WAS 33,14,14,Kyle Orton pass incomplete short right intended for Knowshon Moreno,2.910,2.210
2,1:55,3,9,WAS 33,14,14,Kyle Orton pass complete short middle to Tony Scheffler for 12 yards (tackle by Reed Doughty),2.210,4.170
2,1:13,1,10,WAS 21,14,14,Kyle Orton pass incomplete deep left intended for Brandon Marshall (defended by Fred Smoot),4.170,3.630
2,1:07,2,10,WAS 21,14,14,Kyle Orton pass complete short middle to Brandon Marshall for 9 yards (tackle by Rocky McIntosh and Fred Smoot),3.630,4.490
2,0:52,,,,14,14,Timeout #1 by Denver Broncos,0.000,4.490
2,0:51,3,1,WAS 12,14,14,Knowshon Moreno right guard for 2 yards (tackle by Rocky McIntosh),4.490,4.910
