Unnamed: 0,DEN,WAS
First Downs,14,22
Rush-Yds-TDs,22-120-0,40-174-1
Cmp-Att-Yd-TD-INT,14-31-206-2-1,18-27-228-2-0
Sacked-Yards,3-21,3-14
Net Pass Yards,185,214
Total Yards,305,388
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,4-45,2-19
Third Down Conv.,5-12,8-16
Fourth Down Conv.,0-2,1-2
Time of Possession,24:17,35:43
