Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,CAR 20,0,0,DeAngelo Williams up the middle for 2 yards (tackle by Alex Brown),0.280,0.000
1,14:22,2,8,CAR 22,0,0,Jake Delhomme pass complete short right to Jeff King for 6 yards (tackle by Hunter Hillenmeyer),0.000,0.100
1,13:37,3,2,CAR 28,0,0,"Penalty on Jeff Otah: False Start, 5 yards (no play)",0.100,-0.560
1,13:12,3,7,CAR 23,0,0,Jake Delhomme pass incomplete short left intended for D.J. Hackett,-0.560,-1.830
1,13:06,4,7,CAR 23,6,0,"Jason Baker punts no gain, touchdown. Penalty on Brandon McGowan: Unnecessary Roughness, 15 yards",-1.830,-7.000
1,,,,CAR 2,7,0,,0.000,0.000
1,,,,CHI 15,7,0,"Robbie Gould kicks off 68 yards, returned by Jonathan Stewart for 18 yards (tackle by Jamar Williams)",0.000,1.270
1,12:52,1,10,CAR 35,7,0,DeAngelo Williams right end for 1 yard (tackle by Charles Tillman),1.270,0.860
1,12:27,2,9,CAR 36,7,0,DeAngelo Williams up the middle for 8 yards (tackle by Kevin Payne),0.860,1.220
1,11:48,3,1,CAR 44,7,0,Brad Hoover up the middle for 5 yards (tackle by Marcus Harrison and Nathan Vasher),1.220,2.190
1,11:05,,,,7,0,Timeout #1 by Chicago Bears,0.000,2.190
1,11:05,1,10,CAR 49,7,0,Jonathan Stewart left end for 1 yard (tackle by Hunter Hillenmeyer),2.190,1.780
1,10:29,2,9,,7,0,"Penalty on Jeff King: False Start, 5 yards (no play)",1.780,1.110
1,10:03,2,14,CAR 45,7,0,Jake Delhomme pass complete short right to Muhsin Muhammad for 1 yard (tackle by Brian Urlacher),1.110,0.560
1,9:21,3,13,CAR 46,7,0,Jake Delhomme sacked by Alex Brown for -9 yards,0.560,-0.910
1,8:59,4,22,CAR 37,7,0,"Jason Baker punts 51 yards, out of bounds. Penalty on Richard Marshall: Player Out of Bounds on Punt, 5 yards (no play)",-0.910,-1.240
1,8:51,4,27,CAR 32,7,0,"Jason Baker punts 50 yards, returned by Devin Hester for 3 yards (tackle by Richard Marshall). Penalty on Kellen Davis: Illegal Block Above the Waist, 10 yards",-1.240,0.370
1,8:38,1,10,CHI 11,7,0,"Penalty on Josh Beekman: False Start, 5 yards (no play)",-0.370,-0.570
1,8:37,1,15,CHI 6,7,0,Matt Forte up the middle for -2 yards (tackle by Julius Peppers),-0.570,-1.290
1,8:00,2,17,CHI 4,7,0,Kyle Orton pass complete deep left to Brandon Lloyd for 32 yards (tackle by Ken Lucas),-1.290,1.330
1,7:25,1,10,CHI 36,7,0,Matt Forte left tackle for 3 yards (tackle by Jon Beason),1.330,1.200
1,6:45,2,7,CHI 39,7,0,Kyle Orton pass complete short right to Jason McKie for 5 yards (tackle by Jon Beason),1.200,1.160
1,6:09,3,2,CHI 44,7,0,Rashied Davis right end for 17 yards (tackle by Chris Gamble),1.160,2.980
1,5:32,1,10,CAR 39,7,0,Kyle Orton pass complete short left to Rashied Davis for 4 yards (tackle by Ken Lucas),2.980,2.980
1,4:54,2,6,CAR 35,7,0,Matt Forte up the middle for 7 yards (tackle by Charles Godfrey),2.980,3.710
1,4:54,1,10,CAR 28,7,0,Matt Forte left tackle for 3 yards (tackle by Charles Johnson),3.710,3.570
1,3:47,2,7,CAR 25,7,0,"Kyle Orton pass complete short left to Greg Olsen for -2 yards (tackle by Thomas Davis). Greg Olsen fumbles (forced by Thomas Davis), recovered by Jon Beason at CAR-32 and returned for 12 yards (tackle by Josh Beekman)",3.570,-1.860
1,3:36,1,10,CAR 44,7,0,"Penalty on Dante Rosario: False Start, 5 yards (no play)",1.860,1.530
1,3:36,1,15,CAR 39,7,0,DeAngelo Williams right tackle for 3 yards (tackle by Lance Briggs),1.530,1.050
1,3:00,2,12,CAR 42,7,0,DeAngelo Williams left end for 2 yards (tackle by Kevin Payne),1.050,0.630
1,2:17,3,10,CAR 44,7,0,Jake Delhomme pass incomplete short middle intended for Jeff King (defended by Brian Urlacher). Penalty on CAR: Illegal Formation (Declined),0.630,-0.460
1,2:13,4,10,CAR 44,7,0,"Jason Baker punts 46 yards, returned by Devin Hester for 6 yards (tackle by Jason Kyle). Penalty on Brandon McGowan: Illegal Block Above the Waist, 8 yards",-0.460,0.380
1,2:00,1,10,CHI 8,7,0,Kyle Orton pass complete short right to Matt Forte for 8 yards (tackle by Charles Godfrey),-0.380,-0.090
1,1:32,2,2,CHI 16,7,0,Matt Forte up the middle for 18 yards (tackle by Jon Beason and Chris Harris),-0.090,1.200
1,0:54,1,10,CHI 34,7,0,Matt Forte left tackle for 1 yard (tackle by Thomas Davis),1.200,0.790
1,0:12,2,9,CHI 35,7,0,Kyle Orton pass complete short right to Desmond Clark for 15 yards (tackle by Landon Johnson),0.790,2.260
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,,7,0,Kyle Orton pass incomplete deep right intended for Brandon Lloyd,2.260,1.710
2,14:54,2,10,,7,0,Matt Forte right end for 6 yards (tackle by Jon Beason),1.710,1.820
2,14:12,3,4,CAR 44,7,0,Kyle Orton pass complete short middle to Brandon Lloyd for 9 yards (tackle by Chris Gamble),1.820,3.250
2,13:33,1,10,CAR 35,7,0,Matt Forte left tackle for 2 yards (tackle by Ken Lucas),3.250,2.970
2,12:59,2,8,CAR 33,7,0,Matt Forte up the middle for 7 yards (tackle by Chris Harris),2.970,3.200
2,12:59,3,1,CAR 26,7,0,Jason McKie up the middle for 6 yards (tackle by Ken Lucas),3.200,4.240
2,11:51,1,10,CAR 20,7,0,Matt Forte right tackle for 2 yards (tackle by Jon Beason),4.240,3.960
2,11:14,2,8,CAR 18,7,0,Kyle Orton pass complete short right to Marty Booker for 4 yards (tackle by Chris Gamble),3.960,3.890
2,10:32,,,,7,0,Timeout #2 by Chicago Bears,0.000,3.890
2,10:32,3,4,CAR 14,7,0,Kyle Orton pass complete short middle to Devin Hester for 6 yards (tackle by Ken Lucas),3.890,5.370
2,10:04,1,8,CAR 8,7,0,Matt Forte up the middle for no gain (tackle by Tyler Brayton),5.370,4.570
2,9:21,2,8,CAR 8,7,0,Kyle Orton pass incomplete short middle intended for Rashied Davis (defended by Ken Lucas),4.570,3.580
2,9:15,3,8,CAR 8,7,0,Kyle Orton pass incomplete short right intended for Rashied Davis. Penalty on Devin Hester: Illegal Shift (Declined),3.580,2.950
2,9:15,4,8,CAR 8,10,0,Robbie Gould 26 yard field goal good,2.950,3.000
2,,,,CHI 30,10,0,"Robbie Gould kicks off 69 yards, returned by Dante Rosario for 18 yards (tackle by Nick Roach)",0.000,0.150
2,9:04,1,10,CAR 19,10,0,DeAngelo Williams up the middle for 2 yards (tackle by Marcus Harrison),0.150,-0.060
2,9:04,2,8,CAR 21,10,0,"Penalty on Mike Brown: Neutral Zone Infraction, 5 yards (no play)",-0.060,0.610
2,8:24,2,3,CAR 26,10,0,DeAngelo Williams up the middle for 7 yards (tackle by Brian Urlacher and Marcus Harrison),0.610,1.140
2,7:41,1,10,CAR 33,10,0,DeAngelo Williams up the middle for no gain (tackle by Dusty Dvoracek),1.140,0.590
2,7:41,2,10,CAR 33,10,0,"Penalty on Brad Hoover: False Start, 5 yards (no play)",0.590,-0.080
2,6:43,2,15,CAR 28,10,0,Jake Delhomme pass complete short right to Muhsin Muhammad for 11 yards (tackle by Charles Tillman),-0.080,0.700
2,6:00,3,4,CAR 39,10,0,Jake Delhomme pass incomplete short left intended for D.J. Hackett,0.700,-0.780
2,5:56,4,4,CAR 39,10,0,Jason Baker punts 36 yards,-0.780,-0.610
2,5:48,1,10,CHI 25,10,0,Kevin Jones left tackle for no gain (tackle by Jon Beason),0.610,0.060
2,5:14,2,10,CHI 25,10,0,Kyle Orton pass incomplete deep left intended for Brandon Lloyd (defended by Jon Beason),0.060,-0.620
2,5:07,3,10,CHI 25,10,0,"Penalty on Charles Johnson: Neutral Zone Infraction, 5 yards (no play)",-0.620,0.040
2,5:07,3,5,CHI 30,10,0,"Penalty on Roberto Garza: False Start, 5 yards (no play)",0.040,-0.620
2,5:07,3,10,CHI 25,10,0,Kyle Orton sacked by Damione Lewis for -8 yards,-0.620,-2.320
2,4:38,4,18,CHI 17,10,0,"Brad Maynard punts 30 yards, fair catch by Mark Jones",-2.320,-2.460
2,4:31,1,10,CHI 47,10,0,"Jake Delhomme pass complete deep right to D.J. Hackett for 21 yards. Penalty on D.J. Hackett: Illegal Formation, 5 yards (no play)",2.460,2.130
2,4:01,1,15,CAR 48,10,0,Jake Delhomme pass incomplete deep left intended for Jeff King,2.130,1.240
2,3:58,2,15,CAR 48,10,0,DeAngelo Williams left guard for 5 yards (tackle by Marcus Harrison and Dusty Dvoracek),1.240,1.220
2,3:58,3,10,CHI 47,10,0,"Penalty on Ryan Kalil: False Start, 5 yards (no play)",1.220,0.560
2,2:52,3,15,CAR 48,10,0,DeAngelo Williams up the middle for -2 yards (tackle by Adewale Ogunleye),0.560,-0.320
2,2:14,4,17,CAR 46,10,0,Jason Baker punts 45 yards,-0.320,0.380
2,2:02,1,10,CHI 9,10,0,Matt Forte up the middle for 3 yards (tackle by Julius Peppers),-0.380,-0.560
2,1:57,2,7,CHI 12,10,0,"Penalty on Jason McKie: False Start, 5 yards (no play)",-0.560,-0.930
2,1:57,2,12,CHI 7,10,0,"Matt Forte right end for no gain (tackle by Damione Lewis and Chris Harris). Penalty on Jason McKie: Offensive Holding, 3 yards (no play)",-0.930,-1.150
2,1:48,2,15,CHI 4,10,0,Matt Forte right end for no gain (tackle by Thomas Davis),-1.150,-2.010
2,1:41,,,,10,0,Timeout #1 by Carolina Panthers,0.000,-2.010
2,1:41,3,15,CHI 4,10,0,Matt Forte up the middle for 3 yards (tackle by Charles Johnson),-2.010,-2.490
2,1:38,,,,10,0,Timeout #2 by Carolina Panthers,0.000,-2.490
2,1:38,4,12,CHI 7,10,0,"Brad Maynard punts 47 yards, returned by Mark Jones for 31 yards (tackle by Mark Bradley)",-2.490,-4.040
2,1:27,1,10,CHI 23,10,0,Jake Delhomme pass complete short right to Dante Rosario for 6 yards (tackle by Kevin Payne),4.040,4.380
2,1:02,2,4,CHI 17,10,0,Jake Delhomme pass incomplete short middle intended for D.J. Hackett,4.380,3.660
2,1:00,3,4,CHI 17,10,0,Nick Goings up the middle for -2 yards (tackle by Brandon McGowan and Lance Briggs),3.660,2.210
2,0:16,,,,10,0,Timeout #3 by Carolina Panthers,0.000,2.210
2,0:14,4,6,CHI 19,10,3,John Kasay 37 yard field goal good,2.210,3.000
2,,,,CAR 30,10,3,"Rhys Lloyd kicks off 71 yards, returned by Devin Hester for 19 yards (tackle by Quinton Teal)",0.000,0.040
2,0:06,1,10,CHI 18,10,3,Kyle Orton kneels for -1 yards,0.040,-0.650
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,10,3,"Rhys Lloyd kicks off 74 yards, returned by Devin Hester for 22 yards (tackle by Chris Harris)",0.000,0.040
3,14:54,1,10,CHI 18,10,3,Kyle Orton pass complete short left to Matt Forte for 4 yards (tackle by Jon Beason),0.040,0.140
3,14:19,2,6,CHI 22,10,3,Matt Forte up the middle for 15 yards (tackle by Jon Beason and Chris Harris),0.140,1.400
3,13:39,1,10,CHI 37,10,3,Kyle Orton pass complete short left to Brandon Lloyd for 6 yards (tackle by Thomas Davis),1.400,1.670
3,13:05,2,4,CHI 43,10,3,Matt Forte up the middle for 1 yard (tackle by Jon Beason),1.670,1.090
3,12:22,3,3,CHI 44,10,3,Kyle Orton pass incomplete short left intended for Rashied Davis,1.090,-0.460
3,12:19,4,3,CHI 44,10,3,"Brad Maynard punts 44 yards, fair catch by Mark Jones",-0.460,0.350
3,12:10,1,10,CAR 12,10,3,Jake Delhomme pass complete deep left to Muhsin Muhammad for 33 yards (tackle by Mike Brown),-0.350,1.930
3,11:36,1,10,CAR 45,10,3,Jake Delhomme pass incomplete short right intended for Jeff King is intercepted by Charles Tillman at CAR-49 and returned for 26 yards (tackle by DeAngelo Williams),1.930,-4.040
3,11:24,1,10,CAR 23,10,3,Matt Forte up the middle for 3 yards (tackle by Damione Lewis),4.040,3.900
3,10:50,2,7,CAR 20,10,3,Kyle Orton pass complete short right to Brandon Lloyd for 5 yards (tackle by Chris Gamble),3.900,4.050
